SITE_ID,SITE_ID,INDUSTRY,SUB_INDUSTRY,SQ_FT,LAT,LNG,TIME_ZONE,TZ_OFFSET,LocationMeta
6,6,Commercial Property,Shopping Center/Shopping Mall,161532,34.78300117,-106.8952497,America/Denver,-06:00,"Quintana Road, Dalies, Valencia County, New Mexico, 87031, United States of America"
8,8,Commercial Property,Shopping Center/Shopping Mall,823966,40.32024733,-76.40494239,America/New_York,-04:00,"Pine Avenue, Lebanon South, Lebanon County, penna, 17042, United States of America"
9,9,Commercial Property,Corporate Office,169420,40.94675135,-74.74208726,America/New_York,-04:00,"South Shore Road, Cranberry Lake, Sussex County, New Jersey, 07821, United States of America"
10,10,Commercial Property,Shopping Center/Shopping Mall,1029798,39.73250384,-75.00686126,America/New_York,-04:00,"Atlantic City Expressway, Winslow Township, Camden County, New Jersey, 08094, United States of America"
12,12,Commercial Property,Business Services,179665,39.69454093,-74.89916595,America/New_York,-04:00,"Waltham Run, Winslow Township, Camden County, New Jersey, 08081, United States of America"
13,13,Commercial Property,Commercial Real Estate,185847,38.78465068,-77.47833675,America/New_York,-04:00,"Loch Lomond Elementary School, Augusta Road, Loch Lomond, Prince William County, Virginia, 20111, United States of America"
14,14,Commercial Property,Business Services,1675720,47.82001743,-122.10140700000001,America/Los_Angeles,-07:00,"196th Street Southeast, Maltby, Snohomish County, Washington, 98296, United States of America"
21,21,Commercial Property,Shopping Center/Shopping Mall,783982,36.80665087,-76.82877146,America/New_York,-04:00,"West Blackwater Road, Dwight, Isle of Wight County, Virginia, 23487, United States of America"
22,22,Commercial Property,Bank/Financial Services,318130,38.16780583,-122.7019178,America/Los_Angeles,-07:00,"Hicks Valley Road, Marin County, California, 94952, United States of America"
25,25,Commercial Property,Shopping Center/Shopping Mall,1807149,41.98151724,-71.62104984,America/New_York,-04:00,"Broncos Highway, Nasonville, Providence County, Rhode Island, 02830, United States of America"
29,29,Commercial Property,Shopping Center/Shopping Mall,377537,40.63134048,-74.91601589,America/New_York,-04:00,"I 78;US 22, Franklin Township, Hunterdon County, New Jersey, 08809, United States of America"
30,30,Commercial Property,Bank/Financial Services,496517,47.29794461,-122.5435293,America/Los_Angeles,-07:00,"Salmon Beach, Tacoma, Pierce County, Washington, 98407, United States of America"
31,31,Commercial Property,Commercial Real Estate,294651,33.18898647,-117.2366393,America/Los_Angeles,-07:00,"857, Phillips Street, Vista, San Diego County, California, 92083, United States of America"
32,32,Commercial Property,Shopping Center/Shopping Mall,880941,34.37390331,-87.04651781,America/Chicago,-05:00,"Summerford Road, Camp Ground, Morgan County, Alabama, 35619, United States of America"
36,36,Commercial Property,Business Services,126205,40.29934951,-75.47752837,America/New_York,-04:00,"Hendricks Road, Lower Frederick, Montgomery County, penna, 18979, United States of America"
41,41,Commercial Property,Corporate Office,191554,41.03863897,-74.86575381,America/New_York,-04:00,"Main Fredon Road, Stillwater, Sussex County, New Jersey, 07855, United States of America"
42,42,Commercial Property,Shopping Center/Shopping Mall,1237908,37.56641953,-79.56338786,America/New_York,-04:00,"FR 907, Solitude, Botetourt County, Virginia, 24579, United States of America"
44,44,Commercial Property,Shopping Center/Shopping Mall,192167,44.74241776,-73.58554074,America/New_York,-04:00,"Trim Road, Beartown, Clinton County, New York, 12962, United States of America"
45,45,Commercial Property,Shopping Center/Shopping Mall,1200131,36.36301864,-87.03013879,America/Chicago,-05:00,"Chamberlain Road, Pleasant View, Cheatham County, Tennessee, 37146, United States of America"
49,49,Commercial Property,Shopping Center/Shopping Mall,497092,41.2161756,-78.14809154,America/New_York,-04:00,"Three Runs Road, Piper, Clearfield County, penna, United States of America"
51,51,Commercial Property,Shopping Center/Shopping Mall,65961,43.18250295,-112.6869112,America/Denver,-06:00,"West 100 South, Bingham County, Idaho, 83262, United States of America"
55,55,Commercial Property,Shopping Center/Shopping Mall,625142,39.91023717,-80.51961034,America/New_York,-04:00,"Wolf Run, Rocklick, Marshall County, West Virginia, United States of America"
56,56,Commercial Property,Commercial Real Estate,428277,39.20897557,-76.69972177,America/New_York,-04:00,"Furnace Avenue, Patapsco, Ehrmansville, Anne Arundel County, Maryland, 21075:21090, United States of America"
