
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,27,18,8,5,-1,-5,71,42,13,1024,1022,1020,16,16,16,27,11,34,0.00,1,,74<br />
2012-1-2,26,20,14,-2,-3,-5,32,22,12,1026,1023,1022,16,16,16,34,15,45,0.00,0,,83<br />
2012-1-3,24,18,12,2,-1,-3,43,31,18,1025,1023,1021,16,16,16,24,8,29,0.00,2,,102<br />
2012-1-4,26,18,9,2,-1,-5,54,33,12,1027,1024,1022,16,16,16,19,6,21,0.00,1,,88<br />
2012-1-5,25,18,10,1,-3,-6,48,28,13,1024,1020,1015,16,16,16,23,6,27,0.00,1,,130<br />
2012-1-6,23,16,8,1,-2,-4,48,34,16,1017,1015,1013,16,16,16,19,7,23,0.00,1,,112<br />
2012-1-7,22,15,8,1,-2,-4,56,36,18,1016,1013,1011,16,16,16,23,8,26,0.00,0,,151<br />
2012-1-8,19,14,8,-2,-6,-8,45,30,15,1019,1015,1011,16,16,16,26,10,32,0.00,1,,283<br />
2012-1-9,19,13,7,-2,-6,-8,35,27,18,1024,1022,1020,16,16,16,21,4,24,0.00,3,,249<br />
2012-1-10,19,13,6,0,-2,-4,53,37,20,1022,1019,1016,16,16,16,16,6,23,0.00,2,,105<br />
2012-1-11,19,13,7,1,-2,-4,58,40,22,1018,1016,1014,16,16,16,14,6,19,0.00,4,,115<br />
2012-1-12,18,13,7,1,-6,-14,60,35,10,1018,1016,1015,16,16,16,16,4,26,0.00,5,,357<br />
2012-1-13,21,12,3,-8,-12,-17,42,25,7,1023,1021,1018,16,16,16,24,7,29,0.00,0,,53<br />
2012-1-14,22,14,6,-4,-9,-14,35,23,10,1023,1020,1018,16,16,16,29,8,34,0.00,5,,99<br />
2012-1-15,17,14,12,3,-2,-6,47,35,23,1020,1018,1016,16,16,16,13,6,16,0.00,7,,114<br />
2012-1-16,19,15,11,9,5,3,83,60,37,1019,1017,1015,16,16,16,23,9,32,T,5,,169<br />
2012-1-17,21,14,8,6,3,1,76,53,29,1024,1022,1019,16,16,16,14,7,19,0.00,2,,103<br />
2012-1-18,19,13,7,2,1,-3,70,46,22,1026,1023,1020,16,16,16,16,4,21,0.00,2,,85<br />
2012-1-19,21,14,7,2,0,-2,70,47,23,1020,1017,1014,16,16,16,19,7,24,0.00,1,,113<br />
2012-1-20,22,14,6,1,-2,-4,60,39,18,1017,1015,1014,16,16,16,16,7,24,0.00,2,,103<br />
2012-1-21,22,16,9,2,-1,-6,54,37,20,1015,1012,1007,16,16,13,50,16,64,0.00,4,,146<br />
2012-1-22,17,12,7,-3,-4,-7,45,32,19,1020,1018,1014,16,16,10,26,5,29,0.00,4,,283<br />
2012-1-23,17,12,6,2,-3,-4,57,40,23,1019,1015,1010,16,16,16,29,9,39,T,6,,78<br />
2012-1-24,19,14,8,4,1,-7,76,48,20,1020,1015,1011,16,16,16,23,10,35,0.00,3,,272<br />
2012-1-25,22,14,7,-3,-6,-8,42,28,14,1022,1021,1019,16,16,16,16,4,24,0.00,1,,267<br />
2012-1-26,23,16,7,-1,-3,-5,53,35,16,1021,1018,1014,16,16,16,16,7,24,0.00,1,,106<br />
2012-1-27,21,14,8,1,-1,-2,52,37,23,1017,1015,1014,16,16,16,14,8,32,0.00,5,,108<br />
2012-1-28,25,17,8,-2,-8,-12,38,20,11,1022,1020,1017,16,16,16,24,9,34,0.00,3,,247<br />
2012-1-29,26,17,8,-4,-8,-13,34,19,10,1024,1021,1017,16,16,16,32,6,39,0.00,5,,62<br />
2012-1-30,23,16,9,-2,-4,-6,39,27,14,1017,1015,1013,16,16,16,16,6,21,0.00,3,,104<br />
2012-1-31,24,17,10,-2,-3,-6,41,28,14,1019,1016,1014,16,16,16,16,7,21,0.00,4,,107<br />
2012-2-1,24,16,8,-2,-3,-5,46,31,15,1021,1017,1013,16,16,16,14,6,21,0.00,4,,112<br />
2012-2-2,20,14,7,-1,-3,-7,49,33,17,1014,1012,1009,16,16,16,35,14,42,0.00,2,,299<br />
