
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,28,18,8,11,4,-7,86,48,10,1022,1020,1019,16,12,3,10,1,13,0.00,0,,350<br />
2012-1-2,27,17,7,12,8,2,96,59,21,1024,1022,1020,16,11,0,10,0,14,0.00,1,Fog,280<br />
2012-1-3,26,18,10,3,1,-3,72,44,16,1023,1022,1020,16,16,16,10,1,16,0.00,0,,296<br />
2012-1-4,30,22,13,6,-2,-6,44,27,10,1024,1022,1021,16,16,16,8,2,14,0.00,0,,37<br />
2012-1-5,28,21,13,7,-1,-6,57,34,11,1021,1018,1015,16,16,16,11,2,16,0.00,0,,22<br />
2012-1-6,23,16,9,10,6,-1,89,56,22,1017,1015,1014,16,15,11,8,0,13,0.00,0,,-1<br />
2012-1-7,18,14,9,11,9,8,100,80,60,1018,1016,1014,11,5,0,11,3,19,0.00,3,Fog,113<br />
2012-1-8,21,14,7,8,3,-3,93,57,21,1021,1019,1018,16,11,4,11,1,19,0.00,0,,-1<br />
2012-1-9,23,16,8,8,0,-6,66,40,14,1022,1021,1020,16,16,16,13,1,19,0.00,0,,275<br />
2012-1-10,21,15,8,11,3,0,96,61,26,1022,1020,1017,16,15,6,13,1,19,0.00,0,,270<br />
2012-1-11,19,14,8,9,5,1,89,61,32,1018,1016,1014,16,14,5,10,1,13,0.00,0,,285<br />
2012-1-12,24,17,11,7,1,-7,72,43,13,1018,1016,1014,16,16,11,10,0,13,0.00,0,,270<br />
2012-1-13,24,16,7,1,-8,-17,63,35,6,1021,1020,1018,16,16,16,10,1,14,0.00,0,,1<br />
2012-1-14,21,14,8,2,-5,-11,61,36,11,1022,1020,1019,16,16,14,8,0,14,0.00,0,,280<br />
2012-1-15,17,13,8,10,4,-6,83,56,28,1021,1019,1018,16,16,16,11,1,14,T,6,,90<br />
2012-1-16,15,13,10,8,6,4,83,69,55,1024,1021,1019,16,15,10,11,2,19,0.00,6,,109<br />
2012-1-17,15,11,6,7,4,2,86,65,43,1027,1025,1024,16,16,16,13,1,21,0.00,0,,280<br />
2012-1-18,18,12,6,7,5,2,83,60,36,1027,1024,1022,16,16,16,11,1,19,0.00,0,,270<br />
2012-1-19,18,12,6,9,6,4,89,65,40,1022,1019,1017,16,14,10,13,0,19,0.00,0,,265<br />
2012-1-20,17,13,9,9,8,7,86,73,60,1021,1019,1017,16,13,8,13,1,16,0.00,3,,102<br />
2012-1-21,17,13,9,13,10,-1,100,66,32,1019,1017,1015,16,9,1,19,4,34,17.27,6,Rain,123<br />
2012-1-22,17,13,8,9,7,4,89,72,55,1023,1021,1020,16,16,13,11,1,19,0.00,4,,93<br />
2012-1-23,12,11,8,9,9,8,93,85,77,1020,1016,1012,16,9,2,19,4,27,15.75,7,Rain,96<br />
2012-1-24,20,13,7,8,6,4,93,65,37,1023,1021,1017,16,15,8,11,1,16,0.00,0,,107<br />
2012-1-25,26,18,9,7,4,-1,71,46,20,1023,1021,1019,16,16,16,11,0,14,0.00,0,,-1<br />
2012-1-26,26,18,10,12,7,3,80,52,23,1020,1017,1014,16,16,16,13,1,19,0.00,0,,100<br />
2012-1-27,26,19,12,11,6,-4,86,51,16,1019,1016,1014,16,16,11,10,1,14,0.00,0,,17<br />
2012-1-28,24,16,7,3,-2,-11,65,37,9,1023,1021,1019,16,16,14,8,0,13,0.00,0,,-1<br />
2012-1-29,25,17,8,-1,-8,-14,41,24,7,1023,1020,1018,16,16,16,11,1,16,0.00,0,,19<br />
2012-1-30,21,14,8,11,3,-5,93,57,20,1017,1016,1014,16,15,11,13,1,19,0.00,0,,162<br />
2012-1-31,19,14,10,11,9,6,93,69,44,1021,1018,1016,16,13,10,19,2,26,0.00,3,,178<br />
2012-2-1,19,14,9,10,8,7,89,69,48,1022,1020,1018,16,11,5,13,2,24,0.00,1,,132<br />
2012-2-2,19,14,9,10,8,6,93,68,42,1019,1016,1013,16,9,4,11,1,19,0.00,1,,105<br />
2012-2-3,22,15,8,7,0,-7,86,50,14,1017,1015,1014,16,15,10,11,0,19,0.00,0,,260<br />
2012-2-4,22,16,8,-1,-5,-9,38,25,12,1018,1016,1015,16,16,16,13,2,21,0.00,0,,310<br />
2012-2-5,23,16,8,7,-1,-7,66,40,13,1018,1016,1014,16,16,16,10,1,16,0.00,0,,100<br />
2012-2-6,22,16,9,7,1,-4,77,47,17,1016,1014,1013,16,16,16,10,1,14,0.00,0,,44<br />
2012-2-7,18,16,13,11,6,0,80,58,35,1016,1013,1012,16,16,13,16,4,26,0.25,6,Rain,99<br />
2012-2-8,24,17,9,8,5,1,80,53,25,1021,1018,1016,16,16,16,11,0,16,0.00,0,,125<br />
2012-2-9,27,19,11,9,4,0,72,46,19,1022,1021,1019,16,16,16,13,2,24,0.00,0,,286<br />
2012-2-10,22,16,10,12,9,3,93,70,47,1022,1020,1018,16,16,14,13,2,19,0.00,1,,246<br />
2012-2-11,17,14,12,12,11,8,93,77,60,1018,1016,1014,16,14,8,14,3,26,0.25,6,Rain,121<br />
2012-2-12,17,14,11,9,8,6,83,66,48,1017,1015,1014,16,16,16,11,1,23,0.00,3,,106<br />
2012-2-13,15,12,9,11,7,2,83,65,47,1017,1015,1012,16,15,5,23,4,37,0.25,5,Rain,279<br />
2012-2-14,16,12,7,4,3,1,83,61,39,1019,1016,1013,16,16,16,16,2,26,0.00,0,,55<br />
2012-2-15,14,11,7,11,6,0,83,65,46,1019,1015,1012,16,14,2,19,4,40,3.30,6,Rain,100<br />
2012-2-16,21,13,5,3,-1,-6,82,50,18,1020,1018,1015,16,16,16,23,5,45,0.00,0,,64<br />
2012-2-17,21,16,9,7,-1,-5,77,47,17,1021,1020,1019,16,16,16,11,2,21,0.00,0,,242<br />
2012-2-18,18,13,9,9,8,4,93,71,48,1021,1019,1017,16,16,8,13,2,24,0.00,3,,128<br />
2012-2-19,17,13,8,8,7,7,93,74,55,1020,1017,1015,16,16,14,11,1,21,0.00,3,,270<br />
2012-2-20,17,13,9,9,7,6,89,70,51,1021,1019,1018,16,15,10,11,1,21,0.00,3,,190<br />
2012-2-21,23,16,7,8,4,-3,93,55,17,1021,1020,1019,16,15,10,13,2,21,0.00,0,,270<br />
2012-2-22,25,17,9,9,6,1,72,48,23,1020,1017,1013,16,16,16,8,1,,0.00,0,,260<br />
2012-2-23,26,18,10,12,8,2,93,57,21,1014,1011,1009,16,15,8,13,1,21,0.00,1,,154<br />
2012-2-24,22,17,11,12,11,9,96,72,47,1021,1017,1014,13,7,4,13,2,19,0.00,3,,280<br />
2012-2-25,18,14,11,9,9,8,89,73,56,1022,1017,1014,16,12,5,14,2,24,0.00,4,,280<br />
2012-2-26,18,14,10,9,8,6,89,73,56,1015,1013,1011,16,10,4,14,3,23,0.00,6,,223<br />
2012-2-27,14,11,8,8,6,1,77,68,59,1014,1011,1010,16,16,16,21,6,34,T,5,Rain,244<br />
2012-2-28,14,10,6,3,2,0,76,58,40,1025,1022,1015,16,16,14,13,4,24,0.00,1,,108<br />
2012-2-29,15,11,6,9,6,2,83,65,47,1026,1024,1022,16,16,14,14,2,27,0.00,3,,207<br />
2012-3-1,17,13,9,9,7,2,86,67,47,1022,1020,1018,16,16,10,13,2,24,0.00,3,,93<br />
2012-3-2,22,15,8,7,3,-2,86,54,22,1025,1021,1019,16,16,16,14,2,24,0.00,0,,130<br />
2012-3-3,24,17,9,3,-4,-9,48,29,10,1025,1023,1021,16,16,16,11,1,19,0.00,0,,350<br />
2012-3-4,31,22,13,3,-3,-6,39,25,10,1021,1017,1014,16,16,16,5,2,11,0.00,0,,35<br />
2012-3-5,27,19,11,11,4,-2,93,55,16,1016,1014,1013,16,15,8,11,1,16,0.00,0,,205<br />
2012-3-6,16,13,10,11,7,-9,100,62,24,1014,1012,1008,16,10,1,19,4,32,0.00,6,,142<br />
2012-3-7,17,13,8,4,-7,-15,71,41,11,1021,1017,1012,16,16,16,19,7,34,0.00,0,,339<br />
2012-3-8,22,14,6,2,-4,-10,70,41,11,1025,1023,1021,16,16,16,13,1,26,0.00,0,,190<br />
2012-3-9,28,18,8,1,-4,-10,46,27,8,1024,1020,1016,16,16,10,13,3,26,0.00,0,,190<br />
2012-3-10,23,17,9,9,3,-4,77,50,23,1016,1015,1014,16,16,14,11,3,21,0.00,1,,110<br />
2012-3-11,18,15,11,9,8,6,83,64,44,1017,1016,1015,16,16,16,10,3,,0.00,3,,185<br />
2012-3-12,18,15,11,9,8,7,83,70,56,1018,1017,1015,16,16,13,8,2,,0.00,5,,75<br />
2012-3-13,17,14,11,8,8,7,83,70,56,1019,1018,1017,16,13,8,14,2,26,0.00,4,,253<br />
2012-3-14,19,14,10,11,9,8,93,73,52,1022,1020,1019,16,13,8,16,3,32,0.00,3,,91<br />
2012-3-15,18,15,12,11,10,9,89,75,60,1022,1020,1018,16,13,6,11,1,19,0.00,6,,-1<br />
2012-3-16,16,14,12,12,11,10,86,78,69,1019,1016,1014,16,15,10,5,1,10,T,8,Rain,90<br />
2012-3-17,13,10,7,12,10,3,100,81,61,1013,1008,1006,16,9,1,8,6,13,19.05,8,Rain,199<br />
2012-3-18,14,11,7,6,3,-1,92,70,47,1014,1009,1006,16,16,14,19,7,50,0.25,4,Rain,249<br />
2012-3-19,16,12,7,6,2,-3,80,54,27,1017,1014,1013,16,16,16,16,2,32,0.00,0,,0<br />
2012-3-20,20,14,7,8,4,1,80,54,27,1021,1019,1017,16,16,14,13,1,23,0.00,0,,242<br />
2012-3-21,23,17,9,11,6,0,86,56,25,1020,1017,1014,16,16,13,16,3,23,0.00,0,,263<br />
2012-3-22,22,16,10,10,9,4,89,63,37,1015,1013,1012,16,13,6,13,2,24,0.00,1,,-1<br />
