
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,14,7,-1,7,2,-3,96,73,49,1020,1014,1008,16,16,10,40,12,48,1.02,3,Fog-Rain,204<br />
2012-1-2,8,3,-2,-3,-8,-11,59,47,35,1015,1013,1011,16,16,16,47,20,64,0.00,6,,281<br />
2012-1-3,-1,-4,-8,-7,-12,-19,73,50,27,1025,1019,1014,16,14,1,52,25,71,T,4,Snow,310<br />
2012-1-4,1,-4,-10,-10,-14,-18,64,53,41,1027,1022,1016,16,16,16,23,9,29,0.00,5,,216<br />
2012-1-5,8,2,-4,-4,-6,-8,69,53,37,1016,1015,1014,16,16,16,32,7,39,0.00,5,,258<br />
2012-1-6,17,7,-3,-1,-3,-6,75,51,27,1014,1012,1010,16,16,16,26,12,34,0.00,2,,188<br />
2012-1-7,18,9,0,6,-1,-4,75,58,41,1018,1012,1009,16,16,16,23,10,27,0.00,3,,230<br />
2012-1-8,10,4,-1,-1,-3,-5,78,60,41,1027,1024,1019,16,16,16,26,8,45,0.00,5,,353<br />
2012-1-9,4,1,-3,0,-2,-6,96,78,59,1028,1023,1017,16,8,1,19,4,26,2.29,8,Fog-Snow,184<br />
2012-1-10,12,5,-2,2,-1,-3,100,72,44,1018,1017,1015,16,8,0,23,7,29,0.00,4,Fog,209<br />
2012-1-11,8,2,-4,7,2,-5,100,92,84,1017,1011,999,16,11,4,35,8,50,14.99,6,Rain,86<br />
2012-1-12,15,10,4,8,6,4,100,83,66,1000,998,994,16,13,3,32,12,47,11.68,6,Rain,233<br />
2012-1-13,11,4,-4,7,-6,-11,77,57,37,1015,1004,993,16,16,8,50,19,66,1.02,4,Rain,281<br />
2012-1-14,2,-1,-5,-9,-10,-11,68,56,43,1022,1019,1015,16,16,16,32,12,42,0.00,4,,296<br />
2012-1-15,1,-3,-8,-10,-12,-14,73,53,33,1036,1030,1022,16,16,16,27,10,35,0.00,2,,334<br />
2012-1-16,5,-2,-8,-1,-7,-11,84,62,40,1035,1030,1021,16,16,13,32,14,42,0.51,5,Rain,175<br />
2012-1-17,14,9,4,9,4,0,89,73,57,1020,1011,1005,16,16,8,42,23,60,3.56,6,Rain,201<br />
2012-1-18,13,4,-6,4,-7,-11,83,60,37,1023,1017,1007,16,16,16,53,24,71,0.00,3,,320<br />
2012-1-19,3,-3,-9,-6,-9,-11,84,62,40,1023,1019,1013,16,16,16,29,11,39,0.00,3,,195<br />
2012-1-20,2,-1,-4,-4,-9,-16,75,54,32,1026,1023,1015,16,12,1,29,11,35,2.29,7,Snow,30<br />
2012-1-21,-1,-2,-3,-2,-3,-5,92,82,72,1026,1019,1014,16,9,2,32,13,40,3.81,8,Rain-Snow,10<br />
2012-1-22,-1,-1,-2,-2,-4,-6,92,81,69,1032,1030,1027,16,9,2,24,6,32,T,8,Snow,41<br />
2012-1-23,6,3,-1,5,1,-2,100,95,89,1028,1020,1013,16,2,0,29,8,39,0.76,8,Fog-Rain,181<br />
2012-1-24,14,8,1,6,4,-1,100,78,55,1023,1019,1014,16,11,0,21,5,29,0.00,5,Fog,240<br />
2012-1-25,10,6,1,1,-1,-2,82,66,49,1029,1025,1023,16,16,16,21,7,26,0.00,5,,7<br />
2012-1-26,11,8,4,7,4,1,92,80,68,1022,1015,1007,16,10,5,16,5,23,0.25,8,Rain,125<br />
2012-1-27,18,11,4,15,7,-3,93,71,49,1016,1004,998,16,13,5,52,24,69,4.83,6,Rain,251<br />
2012-1-28,12,6,-2,-1,-3,-9,92,63,33,1023,1017,1013,16,16,13,40,15,58,0.00,2,,237<br />
2012-1-29,9,4,-2,-1,-11,-13,75,49,23,1026,1022,1019,16,16,16,60,16,79,T,3,Snow,244<br />
2012-1-30,8,3,-2,-6,-9,-12,59,42,25,1030,1026,1023,16,16,16,37,13,50,0.00,2,,244<br />
2012-1-31,19,10,1,-1,-3,-6,69,47,24,1024,1021,1018,16,16,16,29,15,39,0.00,3,,190<br />
2012-2-1,21,16,10,8,4,-1,66,50,34,1018,1017,1015,16,16,16,27,14,35,T,6,,260<br />
2012-2-2,14,9,5,9,4,-3,93,69,44,1028,1019,1015,16,13,4,39,11,56,2.29,7,Rain,331<br />
2012-2-3,10,4,-2,-2,-3,-4,85,64,42,1034,1030,1028,16,16,16,24,8,34,0.00,1,,343<br />
