
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,26,18,11,14,12,9,94,67,34,1026,1024,1022,32,18,5,14,3,,0.00,3,,299<br />
2012-1-2,19,14,8,16,8,-2,94,68,27,1024,1022,1020,24,18,3,24,10,34,0.00,5,,316<br />
2012-1-3,9,6,1,-2,-9,-13,70,37,22,1030,1028,1025,32,31,24,27,19,40,0.00,0,,329<br />
2012-1-4,14,7,-1,6,-5,-10,75,45,18,1032,1029,1027,24,22,16,13,5,,0.00,0,,349<br />
2012-1-5,19,9,-1,9,6,-2,93,72,46,1027,1025,1023,32,22,16,23,5,27,0.00,1,,299<br />
2012-1-6,22,13,4,13,9,4,100,81,46,1025,1023,1021,24,16,0,11,2,,0.00,2,Fog,287<br />
2012-1-7,23,17,10,14,10,7,100,64,38,1023,1022,1020,32,21,8,10,2,,0.00,5,,274<br />
2012-1-8,26,17,8,12,9,7,93,56,34,1025,1023,1022,24,19,11,13,3,,0.00,1,,99<br />
2012-1-9,26,18,10,15,12,9,94,73,41,1024,1021,1020,24,16,1,14,3,,0.00,3,Fog,171<br />
2012-1-10,27,19,12,16,12,11,94,78,37,1020,1018,1015,32,17,8,16,3,,0.00,2,,159<br />
2012-1-11,22,18,14,19,15,12,100,88,73,1015,1012,1009,16,13,3,26,10,42,0.00,4,Rain,182<br />
2012-1-12,24,17,11,17,13,11,100,87,47,1015,1013,1011,32,11,0,26,6,37,0.00,5,Fog,218<br />
2012-1-13,17,12,8,15,7,-2,94,67,31,1025,1020,1015,32,22,16,26,11,32,0.00,4,,304<br />
2012-1-14,14,8,3,5,0,-7,87,63,23,1029,1027,1024,32,20,11,21,5,26,0.00,2,,1<br />
2012-1-15,21,10,0,7,1,-2,100,71,23,1032,1030,1028,32,22,11,19,3,26,0.00,1,,27<br />
2012-1-16,22,13,5,10,6,3,88,73,43,1032,1030,1028,32,20,16,27,5,37,0.00,1,,73<br />
2012-1-17,25,17,8,14,9,7,94,80,41,1028,1025,1022,24,19,16,23,2,29,0.00,1,,201<br />
2012-1-18,23,17,10,17,13,9,100,89,57,1022,1020,1016,24,14,2,21,5,34,0.00,4,Fog-Rain,251<br />
2012-1-19,22,16,9,15,8,-3,100,74,19,1023,1020,1017,24,16,6,21,6,26,0.00,1,,8<br />
2012-1-20,26,16,7,12,8,5,93,70,28,1023,1021,1020,24,19,16,26,5,27,0.00,0,,139<br />
2012-1-21,25,18,11,14,12,10,94,78,41,1022,1020,1017,32,19,11,21,6,32,0.00,1,,177<br />
2012-1-22,26,18,10,16,11,8,100,79,34,1021,1020,1019,32,19,11,14,2,,0.00,2,,97<br />
2012-1-23,27,21,15,17,15,13,100,82,45,1022,1020,1018,32,18,3,14,5,,0.00,3,,146<br />
2012-1-24,28,20,13,17,15,11,100,78,35,1023,1021,1020,32,19,6,14,3,,0.00,3,,123<br />
2012-1-25,28,22,17,18,16,12,100,79,37,1023,1021,1019,32,21,8,27,11,35,0.00,3,Rain,115<br />
2012-1-26,28,21,15,19,16,13,100,82,42,1020,1017,1015,32,19,16,26,6,37,0.00,3,,153<br />
2012-1-27,22,17,13,19,17,12,100,90,73,1019,1016,1014,16,14,3,23,13,35,0.00,6,Rain,214<br />
2012-1-28,23,17,11,13,11,9,100,82,41,1023,1021,1019,32,18,1,21,5,29,0.00,4,Fog,332<br />
2012-1-29,23,17,11,12,9,3,94,73,29,1027,1024,1023,24,19,16,23,6,,0.00,1,,31<br />
2012-1-30,23,17,10,10,8,6,88,70,33,1029,1027,1026,32,21,16,27,14,37,0.00,0,,45<br />
2012-1-31,25,18,11,12,11,8,88,73,34,1028,1027,1024,32,19,16,29,10,40,0.00,1,,69<br />
2012-2-1,27,19,12,14,12,11,94,77,37,1026,1024,1021,32,19,16,14,5,,0.00,1,,92<br />
2012-2-2,27,20,13,18,14,12,100,80,39,1023,1022,1019,24,17,11,13,2,,0.00,2,,72<br />
2012-2-3,24,20,17,17,16,14,94,80,53,1024,1023,1022,19,17,16,27,11,37,0.00,2,,72<br />
2012-2-4,27,22,17,17,16,13,88,74,44,1023,1021,1019,24,18,11,24,14,34,0.00,3,,96<br />
2012-2-5,27,22,17,19,17,16,100,82,51,1019,1018,1016,24,15,8,13,5,,0.00,3,,92<br />
2012-2-6,28,23,18,19,17,16,100,86,51,1020,1017,1016,32,18,8,23,5,,0.00,4,,55<br />
2012-2-7,21,19,17,18,17,11,94,88,53,1019,1017,1016,16,13,4,19,10,,0.00,8,,40<br />
2012-2-8,26,19,13,15,11,7,94,74,34,1020,1019,1017,24,17,11,16,10,,0.00,2,,4<br />
2012-2-9,22,16,11,13,11,9,94,76,53,1022,1020,1019,16,16,16,19,10,29,0.00,3,,23<br />
2012-2-10,26,20,14,18,14,12,100,84,54,1021,1017,1013,19,15,6,23,8,29,0.00,5,Rain,351<br />
2012-2-11,18,13,8,16,9,-3,100,76,46,1022,1016,1012,32,17,6,34,13,48,0.00,2,Rain,312<br />
2012-2-12,12,6,0,-2,-7,-11,75,45,19,1029,1025,1022,32,22,16,26,18,52,0.00,1,,4<br />
2012-2-13,19,10,1,7,2,-4,93,69,34,1026,1023,1020,32,21,16,14,5,29,0.00,1,,56<br />
2012-2-14,24,17,9,14,10,7,93,74,47,1021,1020,1018,32,19,8,23,6,32,0.00,2,,175<br />
2012-2-15,28,20,12,15,13,12,100,76,39,1023,1021,1020,32,19,8,11,2,,0.00,2,,171<br />
2012-2-16,28,22,16,18,15,13,94,79,45,1022,1021,1019,24,18,16,26,3,34,0.00,2,,213<br />
2012-2-17,24,20,17,20,18,16,100,92,73,1019,1017,1016,16,12,4,13,3,,0.00,5,Rain,239<br />
2012-2-18,25,21,17,19,18,17,100,91,65,1017,1015,1012,24,7,0,13,2,,0.00,6,Fog,195<br />
2012-2-19,27,21,16,22,17,12,100,86,69,1014,1012,1010,16,13,5,34,11,48,0.00,6,,235<br />
2012-2-20,22,17,11,12,9,7,94,72,38,1024,1019,1014,32,20,16,26,13,32,0.00,3,,13<br />
2012-2-21,24,17,10,14,11,8,94,74,38,1025,1022,1020,32,19,16,21,10,,0.00,2,,63<br />
2012-2-22,26,20,15,18,16,13,94,83,57,1021,1017,1014,24,17,16,24,3,,0.00,6,Rain,208<br />
2012-2-23,28,23,19,20,18,15,94,83,45,1015,1014,1013,19,13,4,27,14,37,0.00,6,,206<br />
2012-2-24,31,24,19,19,18,15,100,80,38,1016,1015,1014,19,9,2,29,13,47,0.00,6,,214<br />
2012-2-25,21,18,16,12,4,1,77,40,28,1025,1022,1020,24,23,19,23,18,29,0.00,6,,46<br />
2012-2-26,22,17,13,17,12,4,83,67,54,1027,1025,1024,24,22,16,29,19,37,0.00,8,,71<br />
2012-2-27,28,23,19,19,18,17,94,76,51,1026,1025,1023,24,16,1,24,10,32,0.00,6,,62<br />
2012-2-28,27,22,18,19,18,16,100,86,54,1026,1025,1023,32,14,0,16,10,,0.00,4,Fog,69<br />
2012-2-29,30,23,17,19,17,15,100,82,40,1024,1022,1019,24,13,0,19,8,,0.00,3,Fog,133<br />
2012-3-1,29,23,17,20,17,15,100,88,45,1020,1019,1016,24,11,0,23,3,26,0.00,4,Fog,237<br />
2012-3-2,29,23,17,21,17,13,100,85,37,1019,1016,1014,24,9,0,26,5,,0.00,6,Fog,205<br />
2012-3-3,31,24,18,21,18,13,100,81,33,1014,1012,1009,19,14,5,37,11,55,0.00,4,,191<br />
2012-3-4,24,16,7,21,11,-5,94,70,23,1024,1015,1006,32,20,11,40,23,61,0.00,4,,243<br />
2012-3-5,24,13,3,7,2,-2,93,62,18,1029,1026,1024,32,19,16,16,3,37,0.00,0,,340<br />
2012-3-6,25,16,7,12,9,6,94,73,38,1030,1029,1027,32,19,16,39,6,52,0.00,1,,73<br />
2012-3-7,28,21,14,16,13,11,94,74,35,1030,1028,1026,24,18,16,29,14,40,0.00,2,,77<br />
2012-3-8,29,22,16,18,17,15,100,83,42,1026,1024,1022,24,14,8,26,10,35,0.00,3,,92<br />
2012-3-9,28,22,17,21,18,16,100,84,48,1024,1022,1019,16,14,6,27,6,,0.00,5,Rain,77<br />
2012-3-10,27,22,17,18,17,16,100,85,51,1024,1022,1020,24,14,4,29,13,40,0.00,6,,10<br />
2012-3-11,26,22,18,20,18,17,100,90,61,1029,1025,1023,24,16,6,29,14,42,0.00,7,Rain,70<br />
2012-3-12,27,22,17,17,16,14,94,77,47,1026,1025,1023,32,18,8,26,14,34,0.00,3,,87<br />
2012-3-13,28,21,15,16,14,13,94,76,39,1025,1024,1022,32,21,16,23,11,27,0.00,1,,94<br />
2012-3-14,28,21,15,17,15,13,100,77,39,1025,1023,1021,32,19,16,24,6,27,0.00,1,,75<br />
2012-3-15,29,22,15,18,16,13,100,80,37,1025,1023,1021,24,18,11,24,6,32,0.00,2,,74<br />
2012-3-16,29,22,16,18,16,12,100,77,35,1025,1023,1021,24,18,11,19,8,34,0.00,1,,86<br />
2012-3-17,29,22,15,17,14,10,100,77,30,1025,1023,1021,32,19,0,23,5,29,0.00,1,Fog,97<br />
2012-3-18,29,21,13,17,14,11,94,76,33,1025,1023,1021,32,19,8,23,3,35,0.00,1,,93<br />
2012-3-19,28,21,15,17,15,12,100,76,37,1023,1021,1019,32,20,11,24,6,32,0.00,1,,100<br />
2012-3-20,28,21,15,17,15,13,100,72,42,1020,1019,1017,32,21,16,23,13,27,0.00,2,,98<br />
2012-3-21,30,23,17,19,17,16,100,80,43,1021,1019,1017,24,16,8,26,11,39,0.00,2,Rain,97<br />
2012-3-22,31,24,19,19,17,13,94,75,33,1022,1020,1017,24,15,8,23,10,29,0.00,4,,112<br />
2012-3-23,31,24,18,19,17,12,94,75,33,1021,1019,1016,24,16,8,14,8,,0.00,4,,139<br />
2012-3-24,29,23,17,20,17,16,100,82,45,1017,1016,1013,32,16,0,23,3,34,0.00,4,Fog,218<br />
2012-3-25,28,22,16,21,16,7,100,76,28,1015,1012,1010,32,18,3,27,11,39,0.00,4,Rain-Thunderstorm,243<br />
2012-3-26,29,20,12,14,11,7,100,70,25,1017,1014,1013,32,19,8,14,3,,0.00,1,,316<br />
2012-3-27,30,21,13,16,12,5,94,70,22,1023,1019,1017,32,20,16,21,3,37,0.00,1,,84<br />
2012-3-28,29,23,17,17,14,9,94,65,30,1023,1021,1018,24,19,11,23,11,29,0.00,1,,106<br />
2012-3-29,29,22,16,18,16,12,100,77,35,1019,1017,1015,19,15,10,13,5,,0.00,2,,162<br />
2012-3-30,30,23,16,19,16,12,100,78,33,1019,1016,1014,24,16,8,19,3,27,0.00,2,,180<br />
2012-3-31,29,23,18,19,17,16,94,80,48,1016,1015,1012,24,17,16,32,5,42,0.00,3,,216<br />
2012-4-1,31,23,15,18,16,14,100,84,35,1015,1013,1011,24,16,2,19,5,26,0.00,1,,279<br />
2012-4-2,31,22,14,21,16,13,100,83,33,1014,1013,1011,24,9,0,21,2,,0.00,4,Fog,299<br />
2012-4-3,33,24,17,19,16,9,100,75,23,1016,1014,1012,32,16,3,14,3,,0.00,0,,292<br />
2012-4-4,32,23,16,20,16,12,100,77,31,1015,1013,1010,24,17,8,24,5,37,0.00,1,,258<br />
2012-4-5,29,23,18,20,17,14,94,78,40,1012,1010,1008,24,18,16,26,11,34,0.00,4,Rain,227<br />
2012-4-6,29,23,18,20,16,8,100,76,28,1015,1010,1008,24,18,16,35,6,48,0.00,2,,267<br />
2012-4-7,27,21,15,13,12,9,82,63,32,1022,1018,1015,32,20,16,27,19,39,0.00,2,,45<br />
2012-4-8,27,20,13,12,11,8,88,63,30,1023,1021,1019,32,20,16,14,6,26,0.00,0,,64<br />
2012-4-9,29,21,13,14,12,8,94,68,28,1020,1019,1015,24,18,16,11,2,,0.00,1,,135<br />
2012-4-10,29,22,15,16,13,10,82,66,30,1019,1017,1015,19,17,11,23,5,29,0.00,1,,354<br />
2012-4-11,29,22,15,17,14,7,100,74,26,1019,1017,1015,19,15,0,21,3,26,0.00,2,Fog,297<br />
2012-4-12,29,22,16,16,11,3,88,62,19,1019,1017,1016,32,17,11,14,6,34,0.00,1,,4<br />
2012-4-13,29,23,17,17,15,9,94,72,29,1021,1019,1017,24,17,13,35,10,42,0.00,3,,76<br />
2012-4-14,26,21,17,17,16,14,94,77,50,1024,1022,1020,24,18,16,27,16,40,0.00,4,,91<br />
2012-4-15,28,22,17,15,14,11,88,66,35,1024,1023,1021,32,20,11,27,13,35,0.00,3,,112<br />
2012-4-16,28,22,16,17,14,9,94,71,30,1024,1022,1020,32,20,16,23,11,32,0.00,2,,119<br />
2012-4-17,29,22,15,16,14,11,100,69,33,1022,1021,1017,24,18,16,23,8,32,0.00,3,,129<br />
2012-4-18,29,23,17,17,16,11,94,69,35,1020,1018,1015,24,18,16,21,10,32,0.00,5,,175<br />
2012-4-19,28,23,18,21,18,17,94,83,51,1016,1014,1012,24,17,11,19,3,,0.00,4,,179<br />
2012-4-20,31,24,18,21,19,17,100,86,43,1014,1012,1010,19,11,0,23,5,29,0.00,4,Fog-Rain-Thunderstorm,166<br />
2012-4-21,27,22,18,19,18,17,94,88,54,1012,1008,1004,24,17,11,26,10,37,0.00,7,Rain-Thunderstorm,166<br />
2012-4-22,26,20,15,18,16,13,100,86,54,1008,1003,1001,32,16,1,32,11,48,0.00,5,Fog-Rain-Thunderstorm,250<br />
2012-4-23,22,17,12,13,8,4,82,57,31,1013,1010,1008,32,21,16,39,10,48,0.00,1,,302<br />
2012-4-24,22,16,9,8,3,-4,77,54,19,1018,1015,1013,32,20,16,26,8,35,0.00,1,,330<br />
2012-4-25,27,17,8,12,7,4,93,68,26,1021,1019,1017,32,19,16,10,0,,0.00,0,,212<br />
2012-4-26,29,20,12,16,13,11,100,75,35,1022,1020,1017,24,18,11,14,2,,0.00,0,,268<br />
2012-4-27,31,23,15,18,14,4,94,71,18,1021,1019,1017,32,19,11,19,3,,0.00,0,,62<br />
