
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,4,-3,-11,-7,-8,-11,92,66,40,1042,1039,1032,16,16,16,16,6,23,0.00,1,,33<br />
2012-1-2,7,-2,-11,-4,-7,-11,96,68,40,1039,1034,1027,16,16,16,27,7,32,0.00,0,,30<br />
2012-1-3,8,1,-6,-6,-7,-8,92,63,34,1035,1030,1026,16,16,16,26,11,32,0.00,0,,238<br />
2012-1-4,7,-1,-9,-4,-7,-11,92,67,41,1039,1035,1032,16,16,16,14,4,16,0.00,0,,40<br />
2012-1-5,13,2,-9,-3,-6,-10,92,59,26,1031,1025,1020,16,16,16,35,13,47,0.00,1,,205<br />
2012-1-6,2,-2,-6,-3,-5,-7,96,80,63,1026,1023,1020,16,16,16,32,11,39,0.00,2,,262<br />
2012-1-7,-2,-4,-6,-4,-6,-7,96,83,69,1032,1026,1017,16,16,13,32,15,37,T,8,,232<br />
2012-1-8,2,-3,-8,-6,-7,-9,91,74,56,1035,1032,1028,16,16,16,26,11,32,0.00,5,,233<br />
2012-1-9,4,-4,-12,-5,-9,-14,96,73,50,1037,1034,1030,16,14,1,11,4,14,0.00,1,Fog,6<br />
2012-1-10,7,-2,-12,-1,-9,-13,92,69,45,1029,1025,1019,16,11,0,45,16,56,T,4,Fog-Rain-Snow,247<br />
2012-1-11,-1,-8,-14,-5,-12,-17,92,65,38,1036,1032,1023,16,16,16,29,5,35,0.00,2,,268<br />
2012-1-12,0,-9,-19,-11,-16,-21,87,62,36,1037,1034,1029,16,16,16,16,4,21,0.00,0,,299<br />
2012-1-13,2,-6,-14,-10,-13,-16,88,63,38,1036,1032,1026,16,16,16,19,3,21,0.00,0,,333<br />
2012-1-14,11,-2,-16,-10,-14,-16,83,49,14,1030,1023,1012,16,16,16,32,10,40,0.00,0,,188<br />
2012-1-15,9,3,-4,-8,-13,-16,63,40,17,1010,1008,1006,16,16,16,39,25,48,0.00,2,,214<br />
2012-1-16,-3,-7,-11,-11,-14,-17,74,56,37,1026,1017,1010,16,16,16,48,27,60,T,3,,236<br />
2012-1-17,-1,-6,-12,-16,-17,-19,61,43,25,1027,1024,1018,16,16,16,37,22,50,0.00,2,,198<br />
2012-1-18,3,0,-3,1,-4,-17,92,60,28,1020,1016,1013,16,11,1,47,25,60,3.05,8,Rain-Snow,219<br />
2012-1-19,5,3,1,2,1,1,100,90,79,1015,1012,1008,16,14,8,40,22,52,17.53,8,Rain,220<br />
2012-1-20,7,5,2,2,1,-1,92,77,62,1015,1011,1005,16,16,16,47,27,61,0.51,6,Rain,211<br />
2012-1-21,5,3,0,2,1,-4,85,80,75,1008,1000,995,16,15,8,56,33,71,13.21,7,Rain,206<br />
2012-1-22,2,-1,-3,-4,-7,-8,78,63,47,1020,1016,1009,16,16,16,50,27,63,0.00,5,,212<br />
2012-1-23,3,-2,-6,-1,-3,-6,100,78,56,1019,1012,1008,16,11,1,29,10,39,2.03,8,Snow,201<br />
2012-1-24,1,-3,-7,-3,-4,-7,96,79,61,1030,1025,1016,16,16,13,26,9,35,T,6,,237<br />
2012-1-25,8,4,1,2,-2,-6,76,67,58,1030,1027,1024,16,16,16,47,27,63,T,5,,205<br />
2012-1-26,6,2,-1,3,-1,-4,92,77,62,1026,1019,1015,16,15,6,56,23,72,5.33,6,Rain,223<br />
2012-1-27,-1,-3,-6,-3,-7,-9,88,73,58,1036,1031,1022,16,16,16,35,22,47,0.00,3,,231<br />
2012-1-28,3,-3,-8,-9,-11,-12,80,58,35,1037,1036,1035,16,16,16,27,13,35,0.00,0,,202<br />
2012-1-29,7,1,-6,-6,-8,-10,92,66,39,1034,1028,1020,16,16,16,21,8,23,0.00,0,,11<br />
