
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,7,3,-2,2,-3,-9,85,71,56,1018,1010,1000,16,15,3,53,31,76,1.02,7,Rain-Snow,273<br />
2012-1-2,-2,-4,-8,-8,-12,-15,77,64,50,1030,1022,1018,16,11,3,47,29,60,0.25,7,Snow,315<br />
2012-1-3,-3,-7,-11,-10,-14,-16,70,54,38,1031,1026,1017,16,16,16,37,17,45,0.00,4,,244<br />
2012-1-4,5,1,-4,-4,-7,-9,69,57,44,1018,1016,1013,16,16,16,27,13,34,0.00,4,,261<br />
2012-1-5,9,2,-5,-1,-3,-7,81,66,50,1017,1012,1006,16,16,16,24,13,37,0.00,3,,230<br />
2012-1-6,13,8,3,2,0,-2,70,58,46,1009,1006,1004,16,16,16,32,13,40,0.00,7,,257<br />
2012-1-7,7,2,-2,-2,-3,-5,78,66,53,1024,1017,1009,16,16,16,26,11,32,0.00,2,,296<br />
2012-1-8,6,1,-4,-2,-4,-7,85,70,54,1028,1027,1025,16,16,13,14,4,21,0.00,4,,256<br />
2012-1-9,8,2,-4,-2,-3,-4,92,69,45,1025,1019,1014,16,14,10,39,18,52,0.00,2,,241<br />
2012-1-10,11,4,-4,0,-2,-5,92,68,44,1018,1014,1009,16,16,16,26,9,35,0.00,0,,204<br />
2012-1-11,12,5,-3,0,-2,-4,85,63,41,1008,1003,999,16,16,16,16,4,35,0.00,3,,38<br />
2012-1-12,3,-2,-7,-1,-4,-10,92,84,75,1001,998,994,14,5,0,37,19,47,8.89,7,Fog-Snow,300<br />
2012-1-13,-6,-7,-8,-10,-11,-12,80,74,67,1018,1010,1001,16,12,3,32,20,39,0.25,8,Snow,287<br />
2012-1-14,-7,-10,-13,-12,-13,-14,80,68,56,1025,1021,1017,16,14,8,16,8,23,T,7,Snow,264<br />
2012-1-15,-1,-8,-15,-6,-10,-16,80,74,67,1029,1025,1017,16,15,13,35,17,45,T,4,Snow,173<br />
2012-1-16,7,3,-1,3,0,-6,86,74,62,1016,1009,1006,16,15,10,37,16,50,1.02,6,Rain,195<br />
2012-1-17,4,-2,-8,3,-3,-14,92,77,62,1025,1009,1001,16,8,1,45,24,58,4.06,7,Rain-Snow,341<br />
2012-1-18,-3,-8,-12,-8,-12,-16,76,65,54,1026,1021,1011,16,16,16,37,17,47,0.00,3,,223<br />
2012-1-19,-2,-8,-15,-6,-15,-24,81,62,42,1024,1015,1008,16,13,3,37,20,48,0.25,5,Snow,288<br />
2012-1-20,-4,-9,-15,-7,-13,-24,88,67,45,1025,1021,1017,16,6,0,19,8,35,13.72,7,Fog-Snow,19<br />
2012-1-21,-4,-6,-9,-8,-11,-13,84,73,62,1025,1023,1019,16,16,11,24,12,37,T,7,Snow,15<br />
2012-1-22,4,-2,-9,3,-2,-12,96,85,74,1020,1009,998,16,4,0,34,21,39,8.13,8,Fog-Rain-Snow-Thunderstorm,155<br />
2012-1-23,8,3,-1,6,1,-6,92,81,69,1013,1000,993,16,11,4,48,27,69,7.37,8,Rain-Snow-Thunderstorm,232<br />
2012-1-24,3,-1,-4,-4,-6,-7,78,69,59,1028,1022,1013,16,16,14,34,14,42,0.00,5,,273<br />
2012-1-25,2,-2,-6,-2,-4,-7,88,79,70,1028,1024,1019,13,9,6,19,7,23,0.00,7,,156<br />
2012-1-26,3,2,0,2,0,-2,92,87,82,1017,1009,1004,10,5,1,24,7,32,T,8,,19<br />
2012-1-27,6,4,1,-1,-3,-6,89,66,43,1015,1011,1004,16,13,3,29,14,37,1.02,6,Snow,281<br />
2012-1-28,1,-1,-3,-1,-4,-8,89,74,58,1020,1014,1009,16,12,2,45,24,58,1.27,4,Snow,248<br />
2012-1-29,-1,-3,-6,-3,-7,-11,75,65,55,1024,1018,1013,16,13,2,39,17,50,T,5,Snow,270<br />
2012-1-30,12,3,-6,3,-2,-9,74,63,52,1024,1014,1009,16,16,16,40,20,52,0.00,6,,192<br />
2012-1-31,14,10,6,8,5,2,83,71,59,1012,1010,1008,16,16,16,39,24,56,0.00,4,,225<br />
2012-2-1,9,4,0,2,1,-1,85,71,56,1022,1019,1013,16,14,8,23,8,29,0.00,5,,335<br />
2012-2-2,6,3,-1,2,0,-2,92,81,70,1031,1026,1021,16,8,3,16,6,27,0.00,7,,279<br />
2012-2-3,4,2,1,0,-1,-1,89,80,70,1033,1030,1028,16,10,6,24,12,39,0.00,8,,62<br />
2012-2-4,6,2,-2,0,-1,-3,85,76,67,1028,1025,1022,16,12,8,26,15,47,0.00,6,,56<br />
2012-2-5,7,3,-2,0,-2,-4,85,69,53,1027,1025,1022,16,16,11,23,9,52,0.00,4,,15<br />
