
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,18,10,2,15,3,-3,88,57,36,1030,1023,1016,16,16,13,29,16,47,0.00,2,,298<br />
2012-1-2,5,2,0,-6,-11,-15,55,36,26,1033,1031,1029,16,16,16,29,13,47,0.00,0,,317<br />
2012-1-3,4,-2,-7,-9,-14,-17,69,41,21,1036,1033,1029,16,16,16,13,3,,0.00,0,,352<br />
2012-1-4,12,4,-2,4,-5,-13,93,56,43,1028,1025,1022,16,16,16,21,5,32,0.00,1,,225<br />
2012-1-5,14,6,-3,2,-2,-4,100,69,29,1026,1023,1021,16,16,14,13,0,,0.00,0,,231<br />
2012-1-6,19,9,0,12,6,-2,93,75,55,1020,1018,1015,16,16,8,21,3,32,0.00,2,,218<br />
2012-1-7,15,13,12,14,13,11,100,94,88,1020,1017,1015,16,13,2,21,5,29,8.64,7,Rain-Thunderstorm,240<br />
2012-1-8,13,10,8,12,10,8,100,96,93,1022,1021,1019,14,8,2,13,2,,12.95,8,Rain,63<br />
2012-1-9,12,10,9,12,9,8,100,98,93,1023,1021,1020,16,4,0,11,2,,0.00,8,Fog-Rain,16<br />
2012-1-10,14,11,9,13,11,9,100,98,94,1019,1014,1007,11,5,2,13,3,,1.52,8,Rain-Thunderstorm,87<br />
2012-1-11,13,10,7,12,8,5,100,95,87,1007,1004,1002,16,11,2,16,6,26,0.00,7,Rain,256<br />
2012-1-12,8,3,-2,7,-3,-12,93,70,41,1018,1011,1006,16,15,5,34,14,53,0.00,6,Rain,290<br />
2012-1-13,4,-1,-5,-8,-11,-12,74,51,31,1024,1022,1019,16,16,16,19,10,29,0.00,0,,267<br />
2012-1-14,14,4,-4,-2,-6,-8,80,51,27,1024,1022,1020,16,16,16,32,8,53,0.00,0,,241<br />
2012-1-15,13,4,-4,0,-3,-5,93,63,33,1032,1029,1026,16,16,16,11,2,,0.00,0,,152<br />
2012-1-16,18,14,10,12,7,0,87,67,47,1025,1022,1018,16,16,11,23,11,45,0.00,7,,183<br />
2012-1-17,19,11,4,17,11,-2,94,79,57,1025,1017,1013,16,15,5,6,0,,1.02,5,Rain-Thunderstorm,200<br />
2012-1-18,5,0,-4,-3,-6,-8,86,65,39,1028,1025,1021,16,16,16,0,0,,0.00,1,,-1<br />
2012-1-19,14,6,-3,8,0,-5,93,67,38,1020,1017,1014,16,16,8,,,,0.00,3,Rain,-1<br />
2012-1-20,19,14,10,15,11,9,94,87,73,1015,1013,1009,16,14,10,,,,0.00,7,,-1<br />
2012-1-21,19,10,2,15,4,0,100,90,78,1019,1016,1010,16,9,2,,,,19.30,8,Rain-Thunderstorm,-1<br />
2012-1-22,20,11,3,17,11,2,100,93,83,1017,1012,1007,16,8,0,,,,2.03,7,Fog-Rain-Thunderstorm,-1<br />
2012-1-23,16,9,3,13,5,2,94,68,47,1020,1015,1008,16,14,5,,,,3.30,1,Rain-Thunderstorm,-1<br />
2012-1-24,16,7,-2,3,-2,-4,100,66,25,1025,1023,1020,16,16,16,,,,0.00,0,,-1<br />
2012-1-25,20,14,8,14,7,-1,88,65,47,1022,1017,1013,16,16,8,,,,1.27,4,Rain,-1<br />
2012-1-26,18,12,6,15,11,4,100,92,77,1012,1009,1004,16,13,1,,,,1.78,6,Fog-Rain-Thunderstorm,-1<br />
2012-1-27,13,7,0,4,2,0,100,77,41,1020,1017,1012,16,15,3,11,3,,0.00,0,,209<br />
2012-1-28,10,5,-1,3,-3,-12,93,58,23,1030,1025,1018,16,16,16,26,8,39,0.00,0,,340<br />
2012-1-29,13,4,-5,-3,-7,-12,93,58,17,1032,1030,1028,16,16,16,19,3,29,0.00,0,,240<br />
2012-1-30,18,9,0,-2,-5,-7,75,44,21,1029,1027,1025,16,16,16,26,5,34,0.00,0,,199<br />
2012-1-31,19,13,8,10,4,-4,68,55,33,1025,1023,1021,16,16,16,24,8,40,0.00,3,,185<br />
2012-2-1,21,16,11,15,13,10,100,84,53,1022,1020,1016,16,13,3,29,8,50,15.49,5,Rain-Thunderstorm,243<br />
2012-2-2,19,13,8,10,6,1,100,69,32,1025,1024,1022,16,12,0,21,5,26,0.00,3,Fog,90<br />
2012-2-3,12,11,10,11,4,0,100,66,44,1025,1023,1022,16,14,5,11,8,,1.27,4,Rain,137<br />
2012-2-4,15,13,12,14,12,10,100,95,88,1020,1019,1017,16,10,1,13,6,,24.64,7,Rain-Thunderstorm,161<br />
2012-2-5,10,8,5,8,4,2,93,80,62,1025,1023,1021,16,16,16,19,8,,0.00,4,,335<br />
2012-2-6,12,6,0,3,2,0,100,80,47,1027,1025,1023,16,15,8,13,3,,0.00,3,,355<br />
2012-2-7,14,6,-2,2,-2,-5,100,66,27,1025,1024,1022,16,15,11,11,2,,0.00,1,Rain,25<br />
2012-2-8,10,6,1,3,1,-2,93,72,50,1029,1027,1025,16,16,16,19,6,29,0.00,6,,357<br />
2012-2-9,6,3,0,-1,-3,-4,87,65,49,1029,1027,1024,16,16,14,14,5,,0.00,5,,39<br />
2012-2-10,4,2,0,3,-2,-4,93,79,65,1024,1021,1018,16,14,4,8,2,,1.78,4,Rain,173<br />
2012-2-11,2,-3,-8,0,-9,-14,87,59,38,1035,1030,1021,16,16,11,26,18,39,0.00,3,Rain,349<br />
2012-2-12,4,-3,-9,-10,-13,-17,93,52,22,1036,1034,1030,16,16,16,13,3,,0.00,0,,340<br />
2012-2-13,4,-2,-7,0,-8,-12,100,60,31,1028,1023,1016,16,14,6,11,3,,1.52,4,Rain,156<br />
2012-2-14,7,4,3,5,3,2,100,90,76,1020,1016,1013,16,13,0,10,3,,0.00,8,Fog,282<br />
2012-2-15,15,8,0,10,6,0,100,89,59,1022,1019,1016,16,11,2,14,3,,4.57,3,Rain-Thunderstorm,133<br />
2012-2-16,13,11,10,12,9,6,100,85,67,1023,1021,1017,16,13,3,14,6,,0.00,7,Thunderstorm,346<br />
2012-2-17,13,8,4,5,3,1,100,71,44,1024,1021,1019,16,15,11,13,5,,0.00,0,,59<br />
2012-2-18,11,6,2,4,2,0,100,73,54,1019,1015,1011,16,15,8,16,5,,0.00,1,Rain,60<br />
2012-2-19,10,4,-2,4,1,-4,100,77,40,1022,1016,1010,16,12,3,21,13,32,24.89,4,Rain,4<br />
2012-2-20,14,4,-4,-2,-4,-8,100,60,25,1025,1022,1018,16,16,8,13,2,,0.00,0,,136<br />
2012-2-21,17,11,5,7,1,-4,87,53,24,1020,1018,1016,16,16,8,27,14,42,0.00,1,Rain,243<br />
2012-2-22,19,11,4,14,9,-2,94,75,50,1015,1008,1003,16,15,2,29,10,40,0.00,3,Rain-Thunderstorm,219<br />
2012-2-23,27,19,12,15,12,8,100,70,30,1003,999,995,16,14,3,45,13,66,0.00,1,,207<br />
2012-2-24,18,13,8,5,-2,-8,58,40,28,1021,1014,1004,16,16,14,37,19,52,0.00,1,,326<br />
2012-2-25,13,4,-3,-2,-5,-9,93,57,22,1029,1027,1025,16,16,16,21,5,27,0.00,0,,313<br />
2012-2-26,18,10,2,-3,-6,-9,48,34,22,1028,1025,1022,16,16,16,16,6,29,0.00,0,,157<br />
2012-2-27,20,13,6,7,3,0,76,52,35,1029,1027,1025,16,16,16,11,3,,0.00,3,Rain,72<br />
