
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,11,4,-3,-7,-9,-12,58,40,21,1036,1033,1028,16,16,13,19,6,24,0.00,1,,354<br />
2012-1-2,10,4,-3,-7,-8,-11,63,43,23,1040,1036,1033,16,16,16,21,6,24,0.00,0,,2<br />
2012-1-3,11,3,-4,-5,-7,-8,75,51,27,1034,1030,1026,16,16,14,13,5,19,0.00,3,,176<br />
2012-1-4,12,6,1,-5,-6,-7,59,44,28,1035,1031,1028,16,16,16,24,7,29,0.00,2,,360<br />
2012-1-5,12,4,-4,-6,-8,-10,75,49,22,1031,1025,1019,16,16,16,16,4,21,0.00,1,,178<br />
2012-1-6,13,5,-3,-6,-7,-8,69,46,22,1021,1018,1016,16,16,16,14,5,19,0.00,0,,13<br />
2012-1-7,13,4,-4,-4,-6,-7,69,48,26,1018,1015,1011,16,16,16,24,9,29,0.00,1,,140<br />
2012-1-8,6,3,-1,-3,-4,-6,69,61,53,1024,1018,1013,16,16,16,42,22,50,T,6,Rain,75<br />
2012-1-9,8,3,-2,-3,-5,-9,85,57,28,1027,1024,1023,16,16,16,24,11,27,0.00,3,,350<br />
2012-1-10,11,4,-4,-4,-7,-8,69,50,30,1024,1021,1016,16,16,16,13,5,14,0.00,2,,353<br />
2012-1-11,11,4,-3,-4,-9,-13,75,47,18,1020,1016,1013,16,16,16,45,14,53,0.00,1,,331<br />
2012-1-12,6,1,-4,-12,-15,-18,50,35,19,1025,1022,1020,16,16,16,21,5,29,0.00,3,,5<br />
2012-1-13,8,2,-6,-14,-16,-17,46,32,17,1029,1026,1023,16,16,16,21,8,27,0.00,0,,354<br />
2012-1-14,11,3,-5,-12,-14,-16,50,33,16,1031,1028,1024,16,16,16,14,6,19,0.00,1,,12<br />
2012-1-15,10,3,-5,0,-8,-13,60,42,23,1024,1021,1016,16,16,16,19,3,26,0.00,6,,175<br />
2012-1-16,13,7,1,4,-1,-5,85,59,32,1017,1012,1008,16,16,11,53,21,71,0.76,5,Rain,223<br />
2012-1-17,10,4,-2,-4,-6,-8,59,44,29,1024,1021,1017,16,16,16,29,13,40,0.00,2,,261<br />
2012-1-18,13,4,-4,-6,-7,-8,69,48,26,1026,1022,1019,16,16,16,16,4,19,0.00,3,,69<br />
2012-1-19,17,9,1,-4,-6,-7,56,40,23,1021,1015,1012,16,16,16,21,8,26,0.00,1,,138<br />
2012-1-20,16,8,1,-4,-8,-12,64,40,15,1018,1014,1010,16,16,16,34,11,39,0.00,2,,309<br />
2012-1-21,15,6,-4,-1,-6,-8,63,45,26,1017,1010,1002,16,16,16,47,15,60,T,5,Rain,210<br />
2012-1-22,9,5,1,-2,-8,-12,59,41,23,1020,1012,1005,16,16,16,53,20,74,T,3,Rain,306<br />
2012-1-23,11,3,-4,-8,-9,-11,63,42,21,1021,1016,1011,16,16,16,14,4,19,0.00,4,,355<br />
2012-1-24,9,5,0,3,0,-6,96,70,44,1021,1014,1009,16,9,1,35,11,50,9.40,7,Fog-Rain-Snow,298<br />
2012-1-25,11,6,0,-2,-4,-7,76,53,29,1024,1022,1020,16,16,16,24,12,34,0.00,2,,357<br />
2012-1-26,12,7,1,-3,-5,-6,59,46,32,1024,1020,1014,16,16,16,14,8,19,0.00,3,,82<br />
2012-1-27,12,7,1,-2,-7,-16,70,42,14,1024,1018,1013,16,16,16,42,16,53,0.00,3,,16<br />
2012-1-28,10,4,-1,-3,-9,-16,69,43,17,1030,1028,1024,16,16,16,27,8,34,0.00,3,,34<br />
2012-1-29,12,4,-4,-10,-13,-15,50,33,16,1031,1027,1024,16,16,16,14,5,21,0.00,3,,2<br />
2012-1-30,13,4,-4,-7,-9,-11,58,38,18,1023,1019,1014,16,16,16,16,5,19,0.00,1,,125<br />
2012-1-31,13,7,0,-5,-8,-11,51,35,19,1020,1018,1016,16,16,16,26,9,34,0.00,5,,162<br />
2012-2-1,12,4,-3,-4,-7,-13,75,46,17,1025,1021,1016,16,16,16,19,6,21,0.00,3,,126<br />
2012-2-2,11,6,2,-1,-7,-12,64,44,24,1015,1011,1008,16,16,16,45,12,61,T,6,,279<br />
2012-2-3,8,4,-1,0,-2,-7,96,67,37,1022,1017,1012,16,11,1,29,10,39,T,6,,357<br />
2012-2-4,9,4,-1,-6,-8,-10,69,49,28,1026,1024,1022,16,16,16,40,24,52,0.00,5,,104<br />
2012-2-5,7,3,-1,-6,-7,-8,61,49,37,1028,1025,1022,16,16,16,40,22,52,0.00,5,,102<br />
2012-2-6,10,3,-4,-1,-6,-8,69,52,34,1022,1020,1015,16,16,10,29,8,37,T,3,Snow,351<br />
2012-2-7,8,3,-2,-1,-7,-9,82,57,31,1026,1024,1020,16,16,16,34,14,40,0.00,3,,55<br />
2012-2-8,11,4,-3,-4,-6,-7,75,53,30,1029,1025,1022,16,16,16,16,6,21,0.00,4,,334<br />
2012-2-9,13,8,3,3,-3,-8,92,58,24,1023,1020,1015,16,15,6,42,15,56,1.27,4,Rain,336<br />
2012-2-10,13,6,-2,-2,-4,-6,85,56,26,1025,1022,1019,16,16,16,27,11,32,0.00,1,,257<br />
2012-2-11,12,5,-2,-4,-6,-7,75,52,29,1023,1020,1016,16,16,16,63,25,82,0.00,3,,62<br />
2012-2-12,5,1,-4,2,-3,-9,92,71,50,1021,1014,1011,16,13,3,47,14,53,1.27,7,Rain-Snow,91<br />
2012-2-13,9,6,1,1,-2,-6,92,63,34,1013,1011,1009,16,16,16,32,13,37,T,6,,227<br />
2012-2-14,12,6,0,1,-2,-5,92,65,38,1011,1009,1004,16,13,1,37,12,48,3.81,6,Fog-Rain-Snow,219<br />
2012-2-15,7,2,-4,-1,-4,-7,92,66,39,1019,1015,1010,16,15,1,32,9,40,0.25,3,Snow,127<br />
2012-2-16,9,4,-1,-3,-5,-7,69,54,39,1021,1019,1017,16,16,16,35,18,47,0.00,6,,46<br />
2012-2-17,13,6,-1,-1,-4,-7,89,58,26,1018,1016,1012,16,16,16,35,9,39,0.00,1,,354<br />
2012-2-18,11,5,-2,-1,-7,-12,92,56,19,1020,1017,1015,16,16,14,21,9,27,0.00,2,,112<br />
2012-2-19,12,6,-1,-2,-5,-7,69,50,30,1015,1011,1005,16,16,16,48,15,61,T,5,Rain,208<br />
2012-2-20,7,3,-2,-2,-14,-23,75,43,10,1022,1017,1009,16,16,16,50,22,63,0.00,2,,309<br />
2012-2-21,14,4,-6,-10,-13,-15,59,36,13,1024,1020,1016,16,16,16,32,9,40,0.00,1,,342<br />
2012-2-22,18,9,0,-4,-7,-9,45,32,19,1020,1014,1008,16,16,16,34,9,42,0.00,3,,313<br />
2012-2-23,19,10,1,-4,-8,-18,69,43,16,1016,1008,1003,16,16,16,56,19,72,0.00,3,,327<br />
2012-2-24,13,5,-3,-8,-14,-18,68,39,10,1025,1022,1016,16,16,16,23,11,27,0.00,1,,359<br />
2012-2-25,17,7,-3,-8,-11,-14,42,29,16,1023,1016,1010,16,16,16,34,11,39,0.00,0,,185<br />
2012-2-26,17,9,1,-8,-11,-16,47,29,10,1015,1012,1010,16,16,16,27,13,35,0.00,1,,318<br />
2012-2-27,16,10,3,-2,-9,-14,49,34,18,1020,1014,1007,16,16,16,58,38,76,0.00,4,,103<br />
2012-2-28,9,5,1,-2,-8,-13,53,37,21,1020,1012,1004,16,16,13,72,28,89,0.00,3,,234<br />
2012-2-29,13,5,-3,-7,-10,-12,58,38,18,1024,1019,1014,16,16,16,19,7,26,0.00,1,,147<br />
2012-3-1,17,9,1,-4,-12,-17,59,34,9,1014,1009,1003,16,16,11,66,25,79,0.00,2,,274<br />
2012-3-2,6,1,-4,-6,-12,-22,63,39,14,1022,1014,1007,16,16,11,50,22,61,T,2,Snow,317<br />
2012-3-3,9,2,-5,-11,-14,-17,46,31,16,1028,1025,1023,16,16,16,39,20,50,0.00,1,,337<br />
2012-3-4,16,8,-1,-8,-9,-11,47,32,17,1027,1024,1020,16,16,16,34,13,40,0.00,0,,353<br />
2012-3-5,19,9,-1,-7,-9,-11,51,32,13,1024,1020,1014,16,16,16,21,7,26,0.00,3,,75<br />
2012-3-6,19,12,5,-9,-13,-17,31,20,8,1014,1007,1002,16,16,16,37,14,47,0.00,5,,161<br />
2012-3-7,19,12,4,-2,-13,-20,64,35,6,1011,1004,999,16,16,11,60,29,74,0.00,2,,209<br />
2012-3-8,7,4,1,-2,-6,-9,82,58,33,1033,1022,1010,16,13,2,89,41,109,T,6,Snow,98<br />
2012-3-9,6,3,-1,-3,-6,-9,64,51,37,1033,1030,1025,16,16,16,42,26,53,T,7,Snow,101<br />
2012-3-10,7,4,1,1,-3,-6,76,63,49,1024,1019,1015,16,15,3,45,20,52,1.02,8,Snow,139<br />
2012-3-11,17,9,0,0,-4,-12,100,57,13,1015,1013,1009,16,13,1,39,15,48,3.56,4,Snow,196<br />
2012-3-12,19,11,3,-5,-9,-14,52,31,10,1019,1016,1013,16,16,16,21,6,24,0.00,0,,143<br />
2012-3-13,21,12,3,-7,-12,-17,41,24,7,1019,1015,1012,16,16,14,21,6,27,0.00,0,,128<br />
2012-3-14,21,12,3,-9,-13,-19,37,22,6,1018,1016,1014,16,16,16,21,6,26,0.00,0,,117<br />
2012-3-15,22,12,2,-9,-13,-18,44,25,6,1021,1017,1014,16,16,16,14,8,19,0.00,0,,120<br />
2012-3-16,23,14,4,-12,-15,-18,23,14,5,1016,1012,1008,16,16,16,21,8,29,0.00,0,,155<br />
2012-3-17,23,13,3,-11,-13,-16,30,18,6,1011,1007,1003,16,16,16,40,14,48,0.00,4,,187<br />
2012-3-18,18,11,3,2,-4,-11,57,37,16,1006,1002,996,16,9,1,85,33,106,0.51,6,Rain,193<br />
2012-3-19,7,4,1,-3,-10,-17,59,39,19,1009,1006,1004,16,16,16,32,19,43,0.00,6,,287<br />
2012-3-20,12,6,-1,-7,-11,-18,63,38,13,1015,1011,1008,16,16,16,42,22,53,0.00,4,,344<br />
2012-3-21,18,9,-1,-7,-11,-13,39,26,13,1017,1013,1008,16,16,16,35,15,52,0.00,1,,338<br />
2012-3-22,22,13,4,-6,-7,-11,43,27,11,1013,1011,1008,16,16,16,21,8,27,0.00,0,,322<br />
2012-3-23,24,14,4,-7,-9,-12,44,27,9,1020,1016,1012,16,16,16,13,6,,0.00,0,,119<br />
2012-3-24,24,16,7,-6,-8,-11,40,25,10,1019,1014,1012,16,16,16,19,6,24,0.00,2,,136<br />
2012-3-25,28,18,8,-7,-8,-10,31,20,8,1015,1011,1007,16,16,16,47,14,61,0.00,5,,175<br />
2012-3-26,26,18,10,-7,-12,-18,24,15,5,1011,1008,1005,16,16,16,37,16,50,0.00,2,,215<br />
2012-3-27,23,15,6,-7,-11,-15,31,19,7,1016,1013,1011,16,16,16,23,6,27,0.00,0,,104<br />
2012-3-28,24,16,6,-9,-13,-15,25,16,6,1016,1013,1009,16,16,16,19,7,27,0.00,0,,174<br />
2012-3-29,24,14,4,-11,-13,-16,24,15,6,1014,1011,1008,16,16,16,27,8,42,0.00,1,,237<br />
2012-3-30,25,15,5,-7,-9,-11,33,21,9,1014,1011,1008,16,16,16,27,6,37,0.00,1,,254<br />
2012-3-31,27,18,8,-4,-7,-11,31,20,9,1013,1010,1006,16,16,16,29,10,40,0.00,3,,184<br />
