
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,7,3,-1,4,1,-4,93,86,75,1017,1007,1000,16,15,1,42,21,60,0.00,7,,201<br />
2012-1-2,-2,-4,-7,-4,-7,-11,93,81,68,1011,1007,1005,16,5,0,35,24,53,0.00,8,,274<br />
2012-1-3,-8,-13,-18,-10,-16,-22,100,79,67,1021,1016,1011,16,7,0,32,18,48,0.00,7,,338<br />
2012-1-4,-4,-12,-19,-10,-15,-22,92,75,54,1020,1014,1010,16,16,16,27,13,40,0.00,4,,202<br />
2012-1-5,-1,-3,-5,-5,-6,-9,86,78,69,1013,1011,1009,16,16,16,23,14,26,0.00,7,,235<br />
2012-1-6,8,3,-2,-1,-3,-6,80,64,50,1007,1006,1005,16,16,16,32,16,40,0.00,0,,203<br />
2012-1-7,5,3,1,-1,-2,-2,81,69,61,1016,1009,1004,16,16,16,32,18,42,0.00,4,,246<br />
2012-1-8,1,-2,-5,-3,-7,-9,86,70,64,1026,1023,1017,16,16,16,24,14,32,0.00,7,,307<br />
2012-1-9,3,-2,-7,-6,-8,-9,93,67,41,1024,1019,1013,16,16,16,21,11,26,0.00,1,,192<br />
2012-1-10,2,0,-2,-2,-4,-6,86,72,56,1015,1013,1010,16,16,16,24,16,35,0.00,6,,273<br />
2012-1-11,5,1,-3,1,-3,-5,93,79,57,1013,1009,1002,16,16,11,24,11,34,0.00,2,,162<br />
2012-1-12,4,3,2,4,2,1,100,93,93,1000,995,993,16,12,1,23,14,35,0.00,8,,185<br />
2012-1-13,3,-3,-10,3,-9,-13,100,81,73,1007,998,990,10,3,1,39,26,53,0.00,8,,240<br />
2012-1-14,-7,-9,-13,-9,-11,-15,93,83,74,1019,1013,1008,16,3,0,27,18,39,0.00,8,,279<br />
2012-1-15,-9,-14,-19,-13,-17,-22,100,80,58,1030,1026,1020,16,16,6,8,2,,0.00,0,,186<br />
2012-1-16,2,-6,-13,1,-8,-16,93,75,52,1028,1020,1013,16,14,5,29,19,45,0.00,3,,184<br />
2012-1-17,10,3,-3,7,3,-6,100,91,75,1011,1004,995,16,11,1,52,23,82,0.00,8,,218<br />
2012-1-18,-3,-7,-9,-6,-11,-15,93,76,62,1019,1016,1009,16,9,1,32,21,50,0.00,,,298<br />
2012-1-19,-4,-8,-11,-6,-11,-14,93,80,63,1017,1011,1006,16,10,0,29,16,50,0.00,8,,203<br />
2012-1-20,-8,-10,-12,-12,-14,-16,92,76,58,1022,1019,1014,16,11,4,16,10,27,0.00,8,,244<br />
2012-1-21,-6,-8,-9,-8,-9,-11,93,84,74,1022,1016,1012,16,12,2,16,10,,0.00,8,,20<br />
2012-1-22,-1,-6,-11,-4,-9,-13,92,78,60,1024,1022,1019,16,16,16,34,14,48,0.00,0,,157<br />
2012-1-23,6,2,-2,4,1,-4,93,89,81,1017,1009,1003,16,16,8,37,24,52,0.00,8,,166<br />
2012-1-24,2,0,-2,-2,-4,-6,86,80,70,1022,1015,1009,16,15,8,40,27,61,0.00,8,,246<br />
2012-1-25,-2,-3,-3,-4,-6,-7,86,79,74,1026,1025,1022,16,16,16,23,13,27,0.00,8,,270<br />
2012-1-26,4,0,-3,3,-1,-5,100,92,80,1021,1012,1002,16,7,0,16,6,,0.00,8,,142<br />
2012-1-27,7,3,-1,6,1,-4,100,91,80,1014,1001,992,16,7,0,37,18,50,0.00,8,,250<br />
2012-1-28,0,-2,-4,-2,-4,-9,93,84,64,1015,1011,1007,16,9,0,48,18,60,0.00,7,,214<br />
2012-1-29,1,-2,-5,-3,-8,-10,100,67,48,1016,1014,1010,16,14,0,60,23,93,0.00,7,,229<br />
2012-1-30,-1,-4,-7,-7,-10,-13,93,69,51,1024,1020,1016,16,15,3,27,16,35,0.00,8,,223<br />
2012-1-31,11,6,0,1,-3,-6,65,56,47,1016,1015,1013,16,16,16,27,18,42,0.00,1,,214<br />
2012-2-6,7,3,-1,-3,-4,-5,86,62,43,1019,1016,1015,16,16,13,26,21,35,0.00,0,,252<br />
2012-2-7,1,-1,-3,-2,-2,-4,93,86,75,1023,1020,1016,16,11,1,21,13,,0.00,8,,307<br />
2012-2-8,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2012-2-14,1,0,-1,-2,-2,-3,93,90,75,1015,1013,1011,16,12,6,14,11,,0.00,8,,193<br />
2012-2-15,0,-1,-2,-1,-4,-5,100,83,69,1023,1021,1015,16,14,5,21,13,29,0.00,7,,227<br />
2012-2-16,4,1,-2,3,1,-4,100,90,75,1021,1015,1012,16,9,0,27,11,34,0.00,8,,187<br />
2012-2-17,3,0,-3,-1,-4,-7,93,76,56,1018,1016,1015,16,14,6,34,16,48,0.00,6,,256<br />
2012-2-18,1,-1,-3,-2,-4,-7,93,80,69,1019,1014,1011,16,13,1,35,14,50,0.00,8,,238<br />
2012-2-19,-3,-4,-5,-6,-8,-9,86,74,64,1020,1018,1016,16,16,14,19,11,,0.00,8,,355<br />
2012-2-20,1,-3,-7,-8,-9,-11,80,65,51,1026,1023,1018,16,16,16,16,10,,0.00,3,,26<br />
2012-2-21,4,0,-4,1,-6,-10,93,68,42,1022,1012,1006,16,14,1,37,16,55,0.00,4,,178<br />
2012-2-22,7,3,-1,2,-1,-2,93,84,53,1005,1002,996,16,13,0,27,18,47,0.00,7,,235<br />
2012-2-23,2,-1,-4,-1,-3,-6,100,85,70,1004,1001,995,16,12,0,23,8,,0.00,6,,256<br />
2012-2-24,7,2,-2,5,-1,-4,100,87,57,1002,995,990,16,9,1,50,18,76,0.00,8,Thunderstorm,191<br />
