
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,12,7,2,7,4,2,92,76,59,1020,1014,1005,16,16,16,27,11,35,1.52,4,Rain,198<br />
2012-1-2,10,5,0,4,-7,-10,80,56,32,1010,1008,1005,16,16,16,50,26,64,0.00,3,,259<br />
2012-1-3,0,-4,-9,-7,-14,-21,63,49,34,1022,1015,1010,16,16,16,45,26,56,0.00,2,,303<br />
2012-1-4,-2,-7,-11,-12,-17,-20,58,44,29,1024,1020,1015,16,16,16,29,17,39,0.00,5,,266<br />
2012-1-5,5,1,-3,-7,-9,-12,59,50,40,1015,1013,1011,16,16,16,34,15,47,0.00,7,,253<br />
2012-1-6,13,6,-1,-2,-3,-5,72,54,35,1014,1010,1007,16,16,13,37,13,50,0.00,5,,220<br />
2012-1-7,18,11,3,2,-1,-3,70,49,28,1015,1009,1006,16,16,16,42,14,58,0.00,2,,243<br />
2012-1-8,9,5,1,-4,-6,-9,69,54,38,1027,1022,1016,16,16,16,29,16,47,0.00,5,,297<br />
2012-1-9,5,2,-2,-3,-7,-10,64,49,34,1027,1023,1016,16,16,16,19,10,26,0.00,6,,211<br />
2012-1-10,8,4,-1,-2,-4,-8,75,60,44,1016,1014,1012,16,15,10,34,17,39,0.00,4,,255<br />
2012-1-11,8,4,-1,3,-1,-4,78,60,42,1020,1016,1010,16,15,13,23,8,32,3.05,5,Rain,104<br />
2012-1-12,9,8,6,7,5,4,96,89,82,1009,1000,997,16,7,1,45,17,58,34.29,8,Rain,43<br />
2012-1-13,10,4,-2,7,-3,-13,93,67,41,1010,999,991,16,12,1,66,31,84,2.54,6,Rain-Snow,245<br />
2012-1-14,1,-1,-2,-7,-10,-11,63,52,41,1019,1015,1011,16,16,14,39,23,48,T,6,Snow,272<br />
2012-1-15,-2,-6,-9,-12,-19,-23,52,38,23,1036,1029,1020,16,16,16,39,24,50,0.00,1,,321<br />
2012-1-16,3,-4,-11,-2,-12,-19,70,50,29,1037,1030,1022,16,16,16,29,11,35,1.27,5,Rain-Snow,190<br />
2012-1-17,12,7,2,8,3,-2,92,85,77,1021,1011,1000,16,12,3,35,14,48,4.57,7,Rain,205<br />
2012-1-18,12,3,-6,8,-9,-14,77,52,27,1022,1014,1001,16,16,16,58,29,76,0.25,2,,314<br />
2012-1-19,2,-3,-8,-4,-9,-14,67,57,46,1025,1020,1014,16,16,16,24,13,35,0.00,5,,117<br />
2012-1-20,2,-1,-3,-6,-13,-18,63,44,25,1026,1022,1014,16,16,16,37,18,45,0.00,5,,314<br />
2012-1-21,-2,-4,-6,-6,-7,-13,92,67,42,1027,1020,1015,16,7,0,34,21,40,10.16,8,Fog-Rain-Snow,23<br />
2012-1-22,2,-3,-9,-2,-8,-13,78,71,63,1034,1032,1028,16,16,16,27,15,34,0.00,5,,26<br />
2012-1-23,12,7,1,10,4,-2,100,91,82,1030,1021,1012,16,6,1,34,12,40,7.11,8,Rain,34<br />
2012-1-24,12,9,6,9,3,-2,96,71,46,1021,1016,1012,16,15,13,45,18,53,T,6,,254<br />
2012-1-25,8,6,3,-2,-4,-5,59,51,42,1027,1024,1021,16,16,16,35,17,47,0.00,6,,319<br />
2012-1-26,4,3,1,3,0,-4,92,76,59,1024,1019,1010,16,11,3,16,8,24,4.57,8,Rain-Snow,57<br />
2012-1-27,16,10,4,14,7,-2,100,77,53,1011,1000,994,16,9,1,53,18,66,8.89,7,Rain,269<br />
2012-1-28,9,6,2,-2,-4,-9,54,44,33,1017,1015,1012,16,16,16,40,17,52,0.00,3,,254<br />
2012-1-29,8,4,1,-8,-11,-13,40,33,25,1023,1020,1017,16,16,16,39,23,52,0.00,3,,240<br />
2012-1-30,5,3,1,-3,-10,-13,70,49,27,1027,1023,1017,16,16,16,48,21,60,0.00,5,,258<br />
2012-1-31,16,9,1,-1,-4,-9,59,42,25,1024,1020,1017,16,16,16,35,15,45,0.00,4,,215<br />
2012-2-1,18,13,8,5,3,-1,76,58,40,1016,1014,1012,16,16,16,52,21,61,0.25,6,Rain,246<br />
2012-2-2,10,6,2,1,-3,-7,70,59,48,1025,1018,1016,16,16,16,39,19,53,0.00,7,,345<br />
2012-2-3,8,4,-1,-7,-8,-10,53,41,28,1032,1029,1025,16,16,16,40,17,47,0.00,2,,305<br />
2012-2-4,8,4,1,-5,-6,-7,61,49,37,1027,1023,1020,16,16,16,26,12,29,0.00,6,,275<br />
