
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,11,5,-1,6,-1,-8,89,72,54,1016,1010,1002,16,14,3,58,29,74,0.51,6,Rain-Snow,220<br />
2012-1-2,-1,-3,-6,-5,-7,-9,84,71,58,1017,1013,1011,16,5,0,40,25,56,1.52,8,Fog-Snow,279<br />
2012-1-3,-5,-8,-11,-11,-12,-15,80,68,56,1027,1023,1018,16,9,0,45,20,53,1.02,7,Snow,306<br />
2012-1-4,-1,-6,-10,-7,-11,-13,92,74,55,1025,1018,1014,16,15,13,32,18,45,T,7,Snow,216<br />
2012-1-5,4,1,-3,-3,-5,-6,78,65,52,1017,1014,1010,16,14,10,26,17,35,0.00,6,,248<br />
2012-1-6,13,7,2,1,-2,-4,70,58,45,1011,1009,1007,16,16,16,37,21,45,0.00,2,,223<br />
2012-1-7,8,6,3,0,-2,-3,70,58,45,1021,1013,1007,16,16,14,32,16,39,0.00,5,,276<br />
2012-1-8,4,2,-2,-4,-6,-7,78,61,44,1028,1026,1021,16,16,16,26,7,34,0.00,5,,325<br />
2012-1-9,5,1,-3,-5,-6,-6,75,60,45,1026,1021,1015,16,16,13,19,8,24,0.00,4,,213<br />
2012-1-10,7,2,-3,-2,-4,-6,78,66,53,1019,1016,1015,16,15,11,23,9,26,0.00,1,,231<br />
2012-1-11,6,2,-2,4,-1,-4,92,73,53,1014,1006,997,16,9,3,26,15,34,7.87,6,Rain,123<br />
2012-1-12,7,2,-4,5,3,-7,93,88,82,998,995,993,14,4,1,45,18,58,3.81,8,Fog-Rain-Snow,212<br />
2012-1-13,-4,-7,-9,-7,-12,-14,84,76,67,1015,1005,997,13,4,0,50,31,63,4.83,8,Fog-Snow,241<br />
2012-1-14,-6,-7,-8,-10,-11,-12,80,74,67,1023,1019,1014,13,7,2,27,14,37,0.25,8,Snow,259<br />
2012-1-15,-4,-8,-12,-10,-11,-13,88,74,59,1033,1029,1022,16,9,4,23,7,27,T,6,Snow,194<br />
2012-1-16,6,-1,-7,2,-5,-12,85,68,50,1029,1020,1012,16,14,5,39,25,52,T,6,Rain,190<br />
2012-1-17,12,6,0,9,4,-4,92,78,64,1013,1005,998,16,12,3,61,32,82,9.40,8,Rain-Snow,230<br />
2012-1-18,0,-4,-8,-4,-10,-12,81,68,55,1024,1021,1015,16,12,5,40,16,56,0.51,7,Snow,297<br />
2012-1-19,-2,-7,-12,-4,-9,-17,85,74,63,1020,1014,1008,16,9,1,39,22,50,4.06,6,Snow,231<br />
2012-1-20,-6,-12,-18,-9,-14,-20,87,68,49,1026,1022,1016,16,11,1,23,10,27,4.83,6,Snow,84<br />
2012-1-21,-3,-6,-8,-7,-9,-11,84,73,62,1026,1020,1012,16,12,2,26,14,34,4.32,7,Snow,29<br />
2012-1-22,5,-2,-9,1,-6,-11,91,75,59,1026,1021,1015,16,12,4,29,17,37,0.25,6,Rain,137<br />
2012-1-23,14,8,2,9,4,-3,89,77,64,1014,1007,1001,16,12,4,48,30,66,8.13,8,Rain,198<br />
2012-1-24,2,1,-1,-2,-3,-5,85,78,70,1027,1021,1013,14,10,5,35,19,48,0.00,8,,271<br />
2012-1-25,0,-1,-2,-2,-4,-6,92,81,69,1029,1026,1021,14,8,4,19,6,39,2.03,8,Rain-Snow,159<br />
2012-1-26,12,6,0,11,2,-2,96,91,85,1022,1010,997,5,2,0,23,11,34,19.81,8,Fog-Rain,127<br />
2012-1-27,12,6,0,11,1,-3,93,84,75,1017,1006,995,14,6,2,39,17,48,9.91,8,Rain-Snow,279<br />
2012-1-28,2,1,-2,-1,-4,-12,89,64,39,1021,1014,1010,16,9,1,52,24,71,0.76,6,Fog-Rain-Snow,230<br />
