
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,13,7,-1,7,0,-9,92,70,47,1018,1011,1003,16,14,2,63,19,76,1.27,5,Rain-Snow,224<br />
2012-1-2,-1,-3,-5,-6,-7,-9,81,70,58,1017,1013,1010,16,9,1,40,21,56,1.78,8,Snow,266<br />
2012-1-3,-5,-9,-13,-7,-12,-16,88,78,67,1028,1020,1015,16,6,0,42,18,50,2.03,7,Snow,306<br />
2012-1-4,-2,-7,-13,-6,-12,-15,83,63,42,1026,1020,1015,16,16,10,26,13,37,T,7,Snow,208<br />
2012-1-5,4,1,-2,-4,-6,-7,78,63,48,1019,1016,1012,16,15,13,21,11,29,0.00,7,,231<br />
2012-1-6,13,8,3,-2,-4,-6,54,45,35,1013,1010,1008,16,16,16,32,17,45,0.00,3,,222<br />
2012-1-7,11,6,1,2,-3,-6,64,48,32,1021,1013,1008,16,16,16,35,16,42,0.00,3,,257<br />
2012-1-8,4,2,-1,-3,-6,-7,78,63,48,1028,1026,1021,16,16,16,21,7,24,0.00,7,,317<br />
2012-1-9,8,3,-2,-5,-6,-8,75,56,36,1027,1021,1015,16,16,16,13,6,19,0.00,6,,216<br />
2012-1-10,8,3,-2,-3,-4,-7,78,62,45,1019,1017,1015,16,16,16,23,9,35,0.00,0,,255<br />
2012-1-11,6,1,-4,4,-1,-6,92,78,64,1016,1007,999,16,12,3,27,10,37,14.48,6,Rain,110<br />
2012-1-12,8,4,1,6,4,-1,96,91,85,998,996,993,16,9,1,35,13,48,16.00,8,Rain-Snow,186<br />
2012-1-13,1,-4,-9,-4,-11,-15,80,71,62,1016,1005,996,16,7,1,45,28,69,4.57,8,Snow,242<br />
2012-1-14,-5,-7,-9,-10,-11,-13,84,72,59,1023,1019,1013,16,10,2,24,12,34,1.27,8,Snow,256<br />
2012-1-15,-4,-8,-12,-10,-11,-13,92,76,59,1034,1030,1023,16,15,8,16,5,23,0.00,4,,292<br />
2012-1-16,8,-1,-9,2,-5,-12,80,57,34,1032,1022,1014,16,16,13,26,13,39,0.51,6,Rain,179<br />
2012-1-17,12,7,2,9,5,-4,86,73,59,1015,1007,1001,16,15,8,60,27,76,4.06,7,Rain,226<br />
