
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,7,3,-1,4,0,-2,92,79,65,1018,1011,998,16,9,2,37,12,52,0.51,8,Rain,171<br />
2012-1-2,7,1,-6,4,-4,-14,83,69,54,1007,1000,998,16,12,1,37,17,47,2.54,7,Rain-Snow,253<br />
2012-1-3,-6,-11,-16,-13,-18,-21,73,62,51,1023,1016,1008,16,13,3,32,19,40,T,7,Snow,350<br />
2012-1-4,-6,-12,-17,-14,-18,-21,76,63,49,1023,1018,1010,16,15,11,32,16,42,T,7,,152<br />
2012-1-5,-3,-7,-12,-6,-9,-14,84,67,50,1013,1009,1008,16,9,0,29,13,42,1.27,6,Fog-Snow,253<br />
2012-1-6,3,-4,-11,-3,-7,-12,84,72,59,1012,1007,1005,16,13,2,24,9,37,0.25,7,Snow,163<br />
2012-1-7,4,1,-3,1,-2,-6,92,78,64,1013,1007,1004,16,9,1,32,4,37,3.30,6,Rain-Snow,323<br />
2012-1-8,3,-3,-10,-3,-9,-12,80,69,58,1028,1023,1013,16,16,13,32,14,40,T,5,Snow,10<br />
2012-1-9,2,-4,-10,-6,-9,-12,88,68,47,1027,1020,1011,16,15,3,32,14,40,T,7,Snow,177<br />
2012-1-10,3,-1,-5,-2,-7,-13,75,59,43,1017,1010,1007,16,14,3,34,19,45,0.25,8,Snow,223<br />
2012-1-11,-5,-8,-11,-11,-12,-14,84,69,54,1022,1019,1016,16,16,11,21,6,23,0.00,6,,342<br />
2012-1-12,2,-3,-7,-1,-3,-9,89,79,69,1015,1005,998,16,10,1,32,8,39,1.52,7,Snow,132<br />
2012-1-13,4,0,-4,2,-3,-8,92,81,69,1001,990,984,16,8,0,34,14,47,9.65,8,Fog-Rain-Snow,214<br />
2012-1-14,-3,-10,-17,-10,-18,-22,76,69,62,1022,1014,1002,16,14,3,37,18,47,T,6,Snow,5<br />
2012-1-15,-14,-18,-22,-20,-22,-24,82,71,60,1036,1030,1022,16,14,5,24,10,29,T,4,Snow,14<br />
2012-1-16,-2,-13,-24,-9,-19,-27,83,64,45,1037,1027,1015,16,16,14,40,17,58,0.00,2,,170<br />
2012-1-17,6,2,-2,3,-1,-7,96,77,58,1014,1002,990,16,11,4,42,22,56,4.32,8,Rain-Snow,180<br />
2012-1-18,7,-3,-13,3,-12,-17,86,66,45,1024,1011,990,16,16,11,53,22,76,0.00,4,,300<br />
2012-1-19,-3,-9,-16,-6,-12,-18,88,60,32,1024,1016,1011,16,10,1,40,16,53,0.76,4,Snow,158<br />
2012-1-20,-3,-9,-14,-6,-13,-22,88,66,43,1028,1019,1010,16,13,1,35,15,47,0.25,4,Fog-Snow,301<br />
2012-1-21,-7,-12,-17,-13,-16,-19,86,71,56,1030,1025,1022,16,8,1,14,4,16,1.52,6,Fog-Snow,63<br />
2012-1-22,-2,-10,-19,-8,-16,-22,87,63,38,1035,1032,1027,16,14,2,29,9,42,T,3,Snow,160<br />
2012-1-23,7,2,-2,5,-1,-8,92,78,63,1027,1016,1007,16,14,4,37,18,52,3.56,8,Rain,167<br />
2012-1-24,8,5,2,6,1,-5,92,73,54,1017,1011,1006,16,16,8,29,12,39,0.51,8,Rain-Snow,247<br />
2012-1-25,2,-1,-3,-4,-7,-8,68,62,56,1025,1023,1017,16,16,13,29,13,45,T,6,Snow,350<br />
2012-1-26,1,-3,-7,-2,-6,-9,92,74,56,1025,1019,1011,16,10,2,14,4,16,3.30,6,Snow,152<br />
2012-1-27,5,2,-1,3,0,-4,100,82,64,1010,1000,991,16,13,5,34,13,48,13.72,8,Rain,199<br />
2012-1-28,4,3,1,-1,-3,-5,75,65,54,1014,1009,1007,16,13,1,29,15,42,0.51,6,Snow,232<br />
2012-1-29,3,1,-2,-3,-7,-10,78,59,40,1015,1013,1009,16,16,10,35,15,52,T,5,Snow,223<br />
2012-1-30,-1,-3,-7,-3,-9,-14,92,67,42,1024,1019,1013,16,12,2,37,12,42,0.51,6,Snow,324<br />
2012-1-31,1,-3,-6,-2,-6,-11,85,76,66,1023,1018,1011,16,8,1,16,6,21,1.52,8,Snow,110<br />
2012-2-1,8,4,1,3,1,-2,92,75,58,1016,1010,1006,16,12,2,35,11,42,3.56,8,Rain-Snow,292<br />
2012-2-2,1,-3,-8,-2,-8,-13,81,74,67,1028,1022,1016,16,14,5,26,14,34,T,7,Snow,7<br />
2012-2-3,-1,-4,-9,-5,-9,-12,88,71,53,1031,1028,1025,16,14,8,16,5,21,T,7,Snow,178<br />
2012-2-4,-2,-6,-11,-3,-8,-13,92,71,50,1028,1025,1023,16,11,2,35,11,42,1.02,5,Snow,356<br />
2012-2-5,-2,-7,-13,-9,-13,-16,84,65,46,1024,1022,1016,16,16,3,19,4,26,0.00,3,Fog,154<br />
2012-2-6,10,3,-3,-3,-6,-9,63,49,34,1015,1012,1009,16,16,14,32,16,40,0.00,4,,224<br />
2012-2-7,4,-2,-8,-3,-9,-15,70,60,50,1026,1020,1012,16,16,14,32,15,39,T,4,Snow,354<br />
2012-2-8,1,-6,-12,-9,-13,-16,83,60,36,1027,1023,1017,16,16,16,23,10,27,0.00,0,,184<br />
2012-2-9,7,-1,-9,-8,-9,-11,84,57,30,1018,1017,1015,16,16,16,16,4,24,0.00,0,,207<br />
2012-2-10,5,-1,-6,-6,-8,-10,68,54,40,1017,1015,1012,16,16,16,24,9,35,0.00,2,,210<br />
2012-2-11,-1,-8,-15,-3,-11,-18,92,78,63,1013,1011,1010,16,10,1,34,15,39,0.76,6,Snow,347<br />
2012-2-12,-9,-12,-15,-17,-19,-21,76,62,48,1012,1010,1009,16,12,2,32,15,42,T,7,Snow,336<br />
2012-2-13,1,-4,-10,-8,-12,-17,80,59,38,1013,1010,1008,16,13,1,19,7,26,0.25,6,Snow,193<br />
2012-2-14,4,0,-4,-3,-8,-9,69,53,37,1018,1016,1013,16,16,16,29,15,39,0.00,5,,187<br />
2012-2-15,6,2,-1,0,-1,-3,92,76,60,1025,1021,1018,16,14,6,19,3,24,0.25,8,Rain-Snow,201<br />
2012-2-16,6,3,0,1,-2,-4,92,71,49,1025,1019,1013,16,13,5,35,12,47,0.76,7,Rain-Snow,183<br />
2012-2-17,6,4,2,1,-2,-6,85,64,43,1013,1012,1011,16,16,11,34,15,48,T,7,Rain-Snow,230<br />
2012-2-18,4,1,-2,-5,-7,-8,69,55,40,1017,1013,1010,16,16,16,27,11,35,T,6,Snow,313<br />
2012-2-19,2,-2,-6,-8,-9,-11,69,56,43,1020,1019,1017,16,16,16,26,9,35,0.00,4,,5<br />
2012-2-20,-1,-4,-8,-9,-11,-15,80,59,38,1027,1024,1020,16,16,16,24,7,29,0.00,2,,12<br />
2012-2-21,4,-2,-9,-2,-9,-11,88,61,33,1028,1019,1007,16,16,16,39,14,53,T,2,,171<br />
2012-2-22,10,6,2,2,-1,-5,92,64,36,1006,1000,996,16,14,3,34,18,47,2.54,7,Rain,200<br />
2012-2-23,6,1,-4,2,-1,-6,92,74,55,1008,998,994,16,12,2,24,9,32,3.81,6,Rain-Snow,327<br />
2012-2-24,3,-1,-4,-1,-2,-6,92,78,64,1008,998,988,16,6,0,24,6,29,8.38,7,Fog-Snow,158<br />
2012-2-25,2,-2,-6,-1,-7,-13,89,71,53,1014,994,986,16,14,3,42,22,58,T,8,Snow,259<br />
2012-2-26,-3,-6,-10,-14,-16,-18,61,47,33,1031,1027,1015,16,16,3,29,13,40,0.00,1,,345<br />
2012-2-27,5,-3,-11,0,-7,-16,76,63,50,1031,1022,1015,16,16,14,39,15,56,0.25,6,Rain,179<br />
2012-2-28,3,-3,-9,-2,-8,-12,92,69,46,1030,1026,1019,16,12,2,40,14,52,0.25,5,Snow,354<br />
