
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,13,9,5,-1,-3,-4,53,44,35,1026,1023,1019,16,16,16,32,17,40,T,6,,99<br />
2012-1-2,11,7,3,8,3,-3,93,66,39,1025,1017,1013,16,15,6,47,16,64,10.92,7,Rain,170<br />
2012-1-3,12,9,7,8,6,4,93,80,66,1027,1025,1022,16,16,16,19,8,24,0.76,7,Rain,168<br />
2012-1-4,12,9,6,9,7,3,100,80,59,1023,1020,1017,16,11,2,39,17,53,20.32,7,Rain,180<br />
2012-1-5,9,6,3,6,3,1,89,80,71,1029,1027,1022,16,16,16,39,22,60,1.27,4,Rain,193<br />
2012-1-6,4,3,2,2,1,0,92,86,79,1029,1027,1025,16,16,11,16,8,23,2.54,8,Rain,181<br />
2012-1-7,7,5,3,4,3,1,92,84,76,1032,1030,1027,16,15,6,19,8,23,T,8,Rain,165<br />
2012-1-8,10,7,3,4,3,2,92,79,66,1030,1027,1025,16,16,16,16,7,23,0.00,6,,165<br />
2012-1-9,9,7,5,7,5,2,89,80,71,1026,1025,1023,16,15,8,24,12,32,4.32,8,Rain,184<br />
2012-1-10,6,3,1,2,0,-2,93,78,62,1035,1032,1027,16,16,14,32,12,39,1.02,5,Rain,10<br />
2012-1-11,6,3,-1,-1,-3,-5,89,67,45,1034,1032,1029,16,16,16,32,18,37,0.00,2,,19<br />
2012-1-12,6,2,-2,0,-3,-5,78,64,49,1030,1028,1026,16,16,16,21,7,24,0.00,5,,19<br />
2012-1-13,5,1,-3,-1,-2,-4,85,73,60,1027,1024,1018,16,16,16,14,5,16,0.00,5,,47<br />
2012-1-14,4,3,1,3,0,-2,92,78,64,1017,1015,1012,16,14,5,42,19,56,4.06,7,Rain-Snow,199<br />
2012-1-15,1,-1,-3,0,-2,-3,100,91,82,1021,1016,1015,16,9,0,27,12,34,5.33,7,Snow,169<br />
2012-1-16,2,-1,-3,1,-2,-4,96,89,82,1021,1019,1014,16,11,2,37,18,48,2.54,8,Snow,184<br />
2012-1-17,3,2,0,3,0,-4,100,85,70,1015,1012,1009,16,10,1,34,20,47,8.13,7,Fog-Snow,205<br />
2012-1-18,0,-1,-3,-2,-3,-4,92,81,69,1015,1008,1003,16,3,1,34,18,39,19.81,8,Fog-Rain-Snow,6<br />
2012-1-19,-1,-2,-3,-2,-3,-4,92,89,85,1009,1005,1001,16,7,2,19,6,19,15.24,8,Rain-Snow,333<br />
2012-1-20,7,3,-1,4,1,-2,100,91,82,1009,1000,984,16,7,1,29,8,35,13.46,8,Fog-Rain-Snow,125<br />
2012-1-21,8,6,3,6,2,0,89,81,73,1013,1001,984,16,16,13,53,30,76,3.05,6,Rain,201<br />
2012-1-22,7,4,2,4,1,-3,93,76,59,1012,1005,997,16,15,8,42,17,69,6.10,7,Rain,159<br />
2012-1-23,8,5,1,2,1,-1,89,74,58,1018,1015,1011,16,16,13,27,13,34,T,5,Rain,174<br />
2012-1-24,10,6,2,9,4,-1,100,88,76,1017,1010,1005,16,13,5,63,18,84,8.64,7,Rain,166<br />
2012-1-25,9,7,4,6,3,1,93,79,65,1026,1022,1015,16,14,6,56,19,72,8.13,7,Rain,206<br />
2012-1-26,9,5,1,8,2,-2,100,75,49,1037,1026,1013,16,16,8,45,17,61,4.83,6,Rain,186<br />
2012-1-27,7,2,-2,-2,-2,-3,92,73,53,1038,1036,1033,16,15,10,13,5,16,0.00,2,,82<br />
2012-1-28,7,4,1,-1,-2,-3,82,70,57,1033,1028,1020,16,16,13,16,8,23,T,7,Rain,162<br />
2012-1-29,9,7,4,9,7,-1,100,79,58,1019,1013,1009,16,12,3,29,16,39,27.69,8,Rain,194<br />
2012-1-30,8,7,6,7,4,4,93,85,76,1019,1017,1011,16,16,13,39,18,52,3.56,7,Rain,204<br />
2012-1-31,9,8,6,5,3,2,89,78,66,1019,1017,1013,16,16,11,29,14,39,1.78,7,Rain,192<br />
2012-2-1,9,6,3,7,4,1,100,85,70,1032,1021,1012,16,14,2,32,10,42,13.46,7,Rain,192<br />
2012-2-2,8,5,2,3,1,0,85,73,60,1033,1029,1024,16,16,16,24,9,29,0.00,4,,42<br />
2012-2-3,14,8,2,1,-4,-6,79,52,25,1025,1021,1019,16,16,16,37,19,47,0.00,1,,95<br />
2012-2-4,16,11,5,1,-3,-4,55,40,25,1023,1022,1021,16,16,16,32,15,39,0.00,2,,100<br />
2012-2-5,14,8,2,2,-1,-4,79,59,39,1025,1023,1021,16,16,16,23,10,26,0.00,4,,14<br />
