
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,7,3,-1,2,-3,-9,87,69,56,1019,1010,1000,16,15,11,42,29,66,0.25,6,Rain-Snow,267<br />
2012-1-2,-2,-5,-8,-7,-11,-15,86,66,51,1031,1023,1018,16,10,1,40,29,55,0.00,7,Snow,310<br />
2012-1-3,-3,-7,-11,-10,-14,-17,71,56,37,1032,1027,1019,16,16,16,29,16,47,0.00,4,,246<br />
2012-1-4,6,1,-3,-4,-7,-10,69,59,45,1019,1016,1014,16,16,16,26,14,,0.00,4,,255<br />
2012-1-5,9,3,-2,-1,-3,-6,80,62,50,1018,1012,1006,16,16,16,23,11,32,0.00,4,,225<br />
2012-1-6,12,9,6,2,0,-3,66,57,47,1009,1007,1005,16,16,16,29,16,39,0.00,7,,247<br />
2012-1-7,6,2,-1,-3,-4,-4,79,63,51,1025,1018,1009,16,16,16,24,14,34,0.00,2,,289<br />
2012-1-8,4,1,-3,-2,-3,-6,89,73,58,1029,1027,1025,16,16,11,11,2,,0.00,4,,230<br />
2012-1-9,8,3,-2,-2,-3,-4,88,69,46,1025,1020,1015,16,14,10,35,14,47,0.00,2,,236<br />
2012-1-10,11,4,-1,-1,-2,-4,85,64,44,1019,1014,1009,16,16,16,21,6,32,0.00,0,,198<br />
2012-1-11,11,6,0,0,-2,-3,89,66,44,1009,1003,999,16,16,16,19,6,21,0.00,3,,59<br />
2012-1-12,1,-3,-7,-1,-4,-10,93,87,79,1002,998,994,16,4,1,29,14,40,1.27,8,Fog-Snow,283<br />
2012-1-13,-6,-7,-9,-10,-11,-12,81,74,68,1019,1011,1001,16,11,2,34,21,42,T,8,Snow,278<br />
2012-1-14,-6,-8,-10,-12,-13,-14,77,70,60,1027,1022,1020,16,14,8,23,9,27,T,7,Snow,254<br />
2012-1-15,-1,-6,-11,-6,-9,-14,80,70,63,1030,1026,1019,16,16,13,32,15,42,T,4,Snow,172<br />
2012-1-16,7,3,-1,4,1,-6,92,80,67,1017,1009,1005,16,13,4,29,15,45,1.02,7,Rain,163<br />
